"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "panelprogram"
"1" "42.8" "69" "2" " 6. kerület, Eötvös utca " "felújított" "duplakomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "17 000 Ft/hó" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "77" "80" "3" " 12. kerület, Kútvölgyi út " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "önálló garázs - benne van az árban" "1981-2000 között" "7 m²" NA
"3" "40.9" "52" "2" " 14. kerület, Kerékgyártó utca " "felújított" "duplakomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "16 000 Ft/hó" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "4 m²" NA
"4" "67.9" "88" "3" " 9. kerület, Középso-Ferencváros " "jó állapotú" "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "nincs megadva" NA NA "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" "2.3 m²" NA
"5" "24.9" "51" "2" " 3. kerület, Hatvany Lajos utca 14. " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" "3 m²" "nincs megadva"
"6" "29.9" "34" "1" " 3. kerület, Szél utca " "felújítandó" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA
"7" "35" "36" "1" " 7. kerület, Klauzál utca " "jó állapotú" "komfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA
"8" "85.9" "101" "2" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "felújított" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "kelet" "panorámás" "nincs megadva" "nincs megadva" "önálló garázs" "2001-2010 között" NA NA
"9" "37.9" "58" "2" " 7. kerület, Péterfy Sándor utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "nincs megadva" NA NA NA
"10" "65.9" "77" "3" " 12. kerület, Táltos utca " "felújított" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA
