"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "parkolohely_ara"
"1" "24.99" "35" "2" " 10. kerület, Gyárdulo " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "69.9" "74" "2" " 2. kerület, Tölgyfa utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" "van" NA NA NA
"3" "32.9" "48" "2" " 10. kerület, Kobánya – Újhegy " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"4" "52" "46" "1" " 8. kerület, Józsefváros – Corvinnegyed " "újszeru" "2019" "luxus" "nincs megadva" "8" "8" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "nincs megadva" "dél" "panorámás" "nincs megadva" "penthouse" NA "teremgarázs hely - benne van az árban" "van" "70 m²" NA NA
"5" "76.9" "76" "1" " 6. kerület, Teréz körút 7. " "felújított" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "20 000 Ft/hó" NA
"6" "23.9" "38" "1" " 10. kerület, Kobánya-Városközpont " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "42.9" "54" "2" " 10. kerület, Kobánya-Városközpont " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "tetotéri" NA "nincs megadva" NA "40 m²" NA NA
"8" "29.9" "43" "1" " 7. kerület, Vörösmarty utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA "30 000 Ft/hó" NA
"9" "35.8" "57" "2" " 13. kerület, Angyalföld – Loportárdulo " "felújított" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés, házközponti" "nem" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - fizetos övezet" "van" "2 m²" NA NA
"10" "30.99" "57" "3" " 9. kerület, Tagló utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gázkazán, gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
