"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara"
"1" "44.9" "42" "1" " 12. kerület, Zugliget " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "13 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "2 m²" "nem" "nincs megadva" "udvari beálló - benne van az árban" NA NA
"2" "50" "80" "3" " 14. kerület, Jávorka Ádám utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "6 m²" "nincs megadva" "tetotéri" "teremgarázs hely - kötelezo megvenni" "van" "3 M Ft"
"3" "39.99" "63" "2" " 1. kerület, Donáti utca " "felújítandó" NA "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"4" "57.1" "66" "3" " 13. kerület, Röppentyu utca 32. " "új építésu" "2020" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön és egyben is" "délkelet" "utcai" "10 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "4.45 M Ft"
"5" "31.4" "63" "2" " 4. kerület, Megyer – Izzó lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" NA "utca, közterület" NA NA
"6" "34.99" "60" "2" " 11. kerület, Bartók Béla út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "kelet" "panorámás" "3 m²" "nincs megadva" NA "nincs megadva" NA NA
"7" "32.9" "39" "1" " 12. kerület, Márvány utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "gáz (konvektor), egyéb" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"8" "34.9" "65" "2" " 8. kerület, Orczy út " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "1 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"9" "32.99" "56" "2" " 13. kerület, Dagály utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "18 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "kertre nézo" "2 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA
"10" "28" "56" "2" " 14. kerület, Istvánmezo " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"11" "25.8" "41" "1" " 13. kerület, Angyalföld " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"12" "77.8" "107" "3" " 6. kerület, Külso-Terézváros " "felújítandó" NA "duplakomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "gáz (konvektor), cserépkályha" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"13" "110" "114" "3" " 7. kerület, Dózsa György út " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"14" "53" "62" "3" " 8. kerület, Futó utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "35 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "6 m²" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" "van" NA
"15" "29.5" "61" "3" " 14. kerület, Kerékgyártó utca " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "28 000 Ft/hó" "igen" "egy helyiségben" "északkelet" "kertre nézo" "10 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"16" "33.2" "38" "1" " 7. kerület, Akácfa utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" "van" NA
"17" "89.99" "136" "4" " 11. kerület, Nevegy utca " "újszeru" "2001-2010 között" "duplakomfortos" "DD" "2" "3" "nincs" "3 m-nél alacsonyabb" "házközponti, gázkazán" "25 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "panorámás" "6 m²" "nem" "tetotéri" "teremgarázs hely - kötelezo megvenni" "van" "3.5 M Ft"
"18" "48.9" "52" "2" " 2. kerület, Bogár utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "8 m²" "igen" "nem tetotéri" "udvari beálló - kötelezo megvenni" NA "3 M Ft"
"19" "57.9" "62" "2" " 3. kerület, Óbuda-Óváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "12 000 Ft/hó" "nem" "külön helyiségben" "kelet" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA
"20" "124.9" "91" "2" " 5. kerület, Lipótváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
