"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas"
"1" "23" "37" "1" " 17. kerület, Borsó utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "5" "nincs" "3 m-nél alacsonyabb" "házközponti, távfutés" "nincs" "40 000 Ft/hó" "igen" "egy helyiségben" "kelet" "kertre nézo" "2 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes"
"2" "26.5" "52" "2" " 20. kerület, Tátra tér " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "1 m²" "nincs megadva" "nem tetotéri" NA "utca, közterület"
"3" "45.9" "62" "2" " 11. kerület, Zámori utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nem tetotéri" NA "nincs megadva"
"4" "79.9" "90" "4" " 2. kerület, Víziváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet"
"5" "70" "90" "4" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "3 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva"
"6" "37.9" "50" "2" " 14. kerület, Amerikai út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "24 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva"
"7" "79" "68" "2" " 2. kerület, Szemlohegy utca " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "házközponti" "van" "28 000 Ft/hó" "nincs megadva" "külön helyiségben" "északkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "utca, közterület"
"8" "45" "58" "2" " 13. kerület, Gyermek tér " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nem" "külön helyiségben" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet"
"9" "39.9" "75" "2" " 4. kerület, Boröndös utca " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "4" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "12 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva"
"10" "59" "62" "2" " 7. kerület, Rákóczi út 18. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "házközponti" "nincs" "39 000 Ft/hó" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet"
