"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely"
"1" "34.9" "57" "2" " 13. kerület, Pannónia utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "10 000 Ft/hó" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "nem vett részt" "utca, közterület" NA
"2" "49.99" "89" "4" " 18. kerület, Margó Tivadar utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m vagy magasabb" "házközponti" "van" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" NA "teremgarázs hely - benne van az árban" "8 m²"
"3" "27.9" "51" "2" " 17. kerület, Újlak utca " "felújított" NA "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "részt vett" "utca, közterület" NA
"4" "34.9" "50" "2" " 11. kerület, Etele út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA NA "igen" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA
"5" "47.99" "60" "2" " 11. kerület, Bogdánfy utca 7. " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "7" "van" "nincs megadva" "házközponti" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "utca, közterület - ingyenes" "4 m²"
"6" "29.9" "44" "1" " 6. kerület, Külso-Terézváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "egyéb" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"7" "44.99" "89" "2.5" " 14. kerület, Bolgárkertész utca 17. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "15 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "tetotéri" NA "utca, közterület" NA
"8" "72" "75" "3" " 1. kerület, Szirtes út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" NA
"9" "230" "92" "2" " 2. kerület, Fo utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"10" "66.5" "100" "4" " 6. kerület, Eötvös utca " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "25 m²"
