"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "parkolohely_ara"
"1" "78.9" "80" "2" " 11. kerület, Bartók Béla út 61. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "33 000 Ft/hó" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "25" "49" "1" " 20. kerület, János utca 49-51 " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "van" NA "igen" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "7 m²" "nincs megadva" NA
"3" "55" "57" "1" " 12. kerület, Kissvábhegy " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" NA NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "6 m²" NA NA
"4" "27.5" "55" "2" " 8. kerület, Dobozi utca 7. " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nem" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"5" "57.9" "55" "2" " 10. kerület, Kismartoni út 3. " "újszeru" NA "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "igen" "egy helyiségben" "dél" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "13 m²" NA NA
"6" "52.99" "80" "2" " 9. kerület, Liliom utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "36 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "tetotéri" "utca, közterület" NA NA NA
"7" "24" "36" "1" " 10. kerület, Salgótarjáni utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "32.9" "49" "2" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" "4 m²" "nincs megadva" NA
"9" "26.9" "28" "1" " 13. kerület, Róbert Károly körút 38. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "elektromos" "nincs" NA "nem" "egy helyiségben" "északnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"10" "58.9" "78" "3" " 11. kerület, Kelenföld " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nem" "külön helyiségben" "kelet" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" "4.91 m²" NA NA
