"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "erkely"
"1" "34.9" "35" "1" " 7. kerület, Barcsay utca 8. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "138.93" "100" "3" " 5. kerület, Károly körút " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "59.9" "61" "2" " 11. kerület, Gellérthegy " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "19.7" "93" "2" " 7. kerület, Hernád utca 14. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "3" "nincs" "3 m-nél alacsonyabb" "gázkazán, gáz (cirko)" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "30 000 Ft/hó" NA NA
"5" "99.8" "71" "3" " 5. kerület, Belgrád rakpart " "újszeru" "1950 elott" "luxus" "nincs megadva" "3" "8" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "van" NA NA NA
"6" "28.9" "46" "1" " 14. kerület, Zsálya utca 53. " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "nincs megadva" NA
"7" "49.9" "74" "2" " 12. kerület, Krisztinaváros " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "nincs megadva" "nem" "külön helyiségben" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA "17 000 Ft/hó" NA "4.6 m²"
"8" "59.9" "59" "2" " 13. kerület, Váci út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"9" "23.2" "35" "2" " 18. kerület, Havanna-lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" "4 m²"
"10" "22.5" "35" "2" " 18. kerület, Havanna-lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" "4 m²"
"11" "62" "70" "3" " 7. kerület, Király utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"12" "25.6" "30" "1" " 13. kerület, Szekszárdi utca " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "külön helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "6 000 Ft/hó" NA NA
"13" "41.9" "66" "2" " 13. kerület, Szent László út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "van" "30 000 Ft/hó" NA NA
"14" "23.5" "32" "1" " 9. kerület, Toronyház utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "5 m²"
"15" "27.4" "59" "2" " 19. kerület, Kazinczy utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA
"16" "27.5" "53" "1" " 18. kerület, Szent Lorinc-lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA
"17" "24.9" "68" "3" " 10. kerület, Dombteto utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA "nincs megadva" "3 m²"
"18" "24.5" "50" "2" " 20. kerület, Baba utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs" NA NA NA
"19" "65.9" "71" "2" " 13. kerület, Balzac utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA "3 m²"
"20" "89.9" "117" "4" " 6. kerület, Aradi utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
