"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "49.9" "44" "2" " 6. kerület, Belso-Terézváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "fan-coil" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "101.32" "149" "4" " 17. kerület, Rákoscsaba " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "egyéb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "20 m²" NA NA NA
"3" "71.4" "105" "3" " 17. kerület, Rákoscsaba " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "egyéb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "51" "75" "3" " 17. kerület, Rákoscsaba " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "egyéb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "26 m²" NA NA NA
"5" "64.9" "81" "3" " 7. kerület, Nagy Diófa utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "75.9" "91" "2" " 13. kerület, Újlipótváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "távfutés" "nem" "külön helyiségben" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA
"7" "49.9" "67" "2" " 20. kerület, Erzsébetfalva " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "nincs megadva" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "északnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "24.4 m²" NA NA NA
"8" "67" "77" "3" " 7. kerület, Klauzál tér " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"9" "37.9" "58" "2" " 22. kerület, Tuzliliom utca " "felújított" "1981-2000 között" "összkomfortos" "AA++" "1" "4" "nincs" "3 m-nél alacsonyabb" "elektromos, távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "van" "részt vett" NA
"10" "16.8" "29" "1" " 4. kerület, Nádor utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "egy helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA NA
