"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "legkondicionalo"
"1" "106" "75" "2" " 1. kerület, Úri utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "észak" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "29.9" "50" "2" " 22. kerület, Gyula vezér út " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "5" "nincs" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA NA
"3" "46.9" "55" "2" " 2. kerület, Bajvívó utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "4.4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "25 000 Ft/hó" NA
"4" "51" "101" "3" " 11. kerület, Budaörsi út " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"5" "31.5" "41" "1" " 7. kerület, Hernád utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "52" "63" "2" " 4. kerület, Károlyi István utca " "nincs megadva" "2001-2010 között" "komfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "56 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA
"7" "29.9" "31" "1" " 14. kerület, Újvilág utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "padlófutés, gáz (cirko)" "nem" "külön helyiségben" "kelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "8 000 Ft/hó" "nincs"
"8" "63.7" "75" "3" " 8. kerület, Józsefváros – Palotanegyed " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "32" "30" "1" " 7. kerület, Wesselényi utca 49. " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "24.9" "53" "3" " 18. kerület, Csontváry Kosztka Tivadar utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"11" "76.9" "130" "4" " 9. kerület, Belso-Ferencváros " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "57.5" "59" "3" " 9. kerület, Mester utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "12 m²" "nem" "tetotéri" "teremgarázs hely - benne van az árban" NA NA "van"
"13" "28.5" "46" "1" " 14. kerület, Ormánság utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "részt vett" "25 000 Ft/hó" NA
"14" "20.9" "26" "1" " 13. kerület, Mohács utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA "6 000 Ft/hó" "van"
"15" "101" "101" "3" " 5. kerület, Semmelweis utca " "közepes állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"16" "25" "25" "1" " 14. kerület, Tábornok utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "udvari" NA "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"17" "41.05" "31" "2" " 8. kerület, Józsefváros – Corvinnegyed " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "9" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "nincs megadva" "dél" "panorámás" "13 m²" "nem" "nincs megadva" "teremgarázs hely" NA NA NA
"18" "41" "58" "2" " 16. kerület, Hunyadvár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "kertre nézo" "5 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA "20 000 Ft/hó" "nincs"
