"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "panelprogram" "rezsikoltseg" "legkondicionalo"
"1" "59.9" "74" "3" " 6. kerület, Izabella utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "49.5" "80" "3.5" " 3. kerület, Silvanus sétány " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "5 m²" "nem vett részt" NA NA
"3" "26.5" "32" "1" " 11. kerület, Bánk bán utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" NA NA NA NA
"4" "42.9" "40" "2" " 8. kerület, József körút " "felújított" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"5" "63.9" "80" "3" " 14. kerület, Amerikai út " "felújított" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "2 m²" NA NA NA
"6" "44.95" "53" "3" " 6. kerület, Külso-Terézváros " "nincs megadva" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"7" "31" "38" "2" " 14. kerület, Erzsébet királyné útja " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"8" "27.9" "41" "1" " 11. kerület, Rof utca " "felújított" "összkomfortos" "nincs megadva" "szuterén" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nem" "egy helyiségben" "nyugat" "utcai" "igen" "nem tetotéri" "utca, közterület" NA "12 m²" NA "20 000 Ft/hó" NA
"9" "23.99" "25" "1" " 6. kerület, Székely Bertalan utca " "felújított" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" NA NA "25 000 Ft/hó" "van"
"10" "34.5" "53" "2" " 20. kerület, Pacsirtatelep " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), hoszivattyú" "nem" "külön helyiségben" "nincs megadva" "udvari" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "2019" NA NA NA NA
"11" "39" "58" "2" " 14. kerület, Alsórákos " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "5 m²" NA NA NA
"12" "40.9" "68" "2" " 17. kerület, Rákoskert – Strázsahegy " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "2001-2010 között" NA NA NA "nincs"
"13" "165" "145" "4" " 2. kerület, Törökvész " "nincs megadva" "luxus" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön és egyben is" "dél" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" "2001-2010 között" "200 m²" NA NA "van"
"14" "53.9" "85" "3" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "nincs megadva" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko), cserépkályha" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA
