"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "panelprogram"
"1" "24.9" "36" "1" " 17. kerület, Pesti út " "felújított" "2019" "összkomfortos" "nincs megadva" "5" "5" "nincs" "3 m vagy magasabb" "távfutés egyedi méréssel" "van" "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "tetotéri" "utca, közterület - ingyenes" NA NA NA
"2" "86.8" "95" "2" " 1. kerület, Krisztinaváros – Naphegy " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "8 m²" NA NA
"3" "129.9" "129" "4" " 9. kerület, Közraktár utca " "közepes állapotú" NA "komfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" NA NA
"4" "42" "58" "2" " 13. kerület, Kresz Géza utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "15 000 Ft/hó" NA
"5" "26.5" "30" "1" " 12. kerület, Ugocsa utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "nincs megadva" "nincs" "nem" "külön helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "20 000 Ft/hó" NA
"6" "46.9" "67" "3" " 6. kerület, Vörösmarty utca " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "északkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"7" "21.9" "34" "1" " 13. kerület, Angyalföld " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "25 000 Ft/hó" NA
"8" "24.9" "46" "1" " 13. kerület, Rokolya utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" "igen" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "nincs megadva" NA NA NA
"9" "46" "66" "2" " 3. kerület, Ürömhegy " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" "6 m²" NA NA
"10" "16.49" "20" "1" " 9. kerület, Soroksári út " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"11" "34.9" "78" "4" " 15. kerület, Újpalota " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "28 000 Ft/hó" "nincs megadva"
"12" "22.5" "37" "1" " 20. kerület, Baross utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" "25 000 Ft/hó" "nem vett részt"
"13" "26.5" "66" "2" " 18. kerület, Baross utca 21. " "felújítandó" "1950-1980 között" "összkomfortos" "FF" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "kelet" "utcai" "igen" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "3 m²" "30 000 Ft/hó" NA
"14" "37.5" "46" "2" " 14. kerület, Szugló utca " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "6 m²" NA NA
"15" "31.5" "50" "2" " 14. kerület, Róna utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva"
"16" "44.5" "54" "1" " 6. kerület, Nagymezo utca 8. " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "igen" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"17" "42.9" "69" "2" " 7. kerület, Hársfa utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"18" "29.9" "63" "3" " 14. kerület, Róna park " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" NA "nincs megadva" NA NA NA
"19" "24.5" "36" "1" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" NA "nincs megadva" "nincs megadva" "10" "10" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva"
"20" "85.9" "127" "3" " 14. kerület, Paskál utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "9 m²" NA NA
