"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "erkely" "epites_eve" "parkolohely_ara"
"1" "97.9" "107" "3" " 6. kerület, Izabella utca " "újszeru" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "74.9" "68" "2" " 9. kerület, Csarnok tér 5. " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"3" "38" "68" "2" " 11. kerület, Kéro utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "34.9" "59" "2" " 19. kerület, Klapka utca " "felújított" "nincs megadva" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" "40 000 Ft/hó" "2 m²" NA NA
"5" "84.9" "89" "3" " 1. kerület, Attila út " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "4 m²" NA NA
"6" "21.25" "35" "1" " 21. kerület, Vénusz utca " "közepes állapotú" "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "udvari beálló" NA NA NA NA NA
"7" "26.4" "44" "1" " 18. kerület, Szent Lorinc-lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "cserépkályha" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"8" "39" "39" "1" " 11. kerület, Lágymányosi utca " "jó állapotú" "nincs megadva" "nincs megadva" "3" "6" "van" "nincs megadva" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "6 m²" "1950 elott" NA
"9" "24.4" "32" "1" " 13. kerület, Forgách utca 32. " "jó állapotú" "komfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "cserépkályha" "nincs" "nem" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA "15 000 Ft/hó" NA "1950-1980 között" NA
"10" "29.9" "34" "1" " 13. kerület, Dolmány utca " "újszeru" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "kelet" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "4 m²" "2001-2010 között" NA
