"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "parkolohely_ara" "legkondicionalo" "panelprogram"
"1" "42" "42" "1" " 6. kerület, Király utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "29.5" "74" "3" " 10. kerület, Pongrácz út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA
"3" "34" "36" "1" " 21. kerület, Vágóhíd utca " "nincs megadva" NA "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "15 m²" NA NA NA NA
"4" "49.9" "76" "2" " 13. kerület, Szabolcs utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"5" "55" "80" "3" " 4. kerület, Újpest " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "nincs megadva" "tetotéri" "udvari beálló" NA NA NA NA NA
"6" "21.9" "28" "1" " 8. kerület, Józsefváros – Orczynegyed " "felújított" NA "összkomfortos" "nincs megadva" "3" "5" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "kelet" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA NA
"7" "25.5" "41" "1" " 13. kerület, Váci út 90. " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA "25 000 Ft/hó" NA NA NA
"8" "79.9" "91" "2" " 7. kerület, Király utca " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "9 m²" NA NA NA NA
"9" "77.5" "135" "4" " 13. kerület, Jász utca " "nincs megadva" "2017" "duplakomfortos" "nincs megadva" "4" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "14 m²" NA "3.2 M Ft" NA NA
"10" "21.8" "34" "1" " 10. kerület, Kobánya-Kertváros " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA NA
