"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "rezsikoltseg"
"1" "81.1" "81" "2.5" " 13. kerület, Angyalföld " "újszeru" "2019" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "40.07 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA
"2" "52.39" "61" "2" " 13. kerület, Angyalföld " "újszeru" "2019" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "19.29 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA
"3" "29.9" "51" "1" " 3. kerület, Békásmegyeri lakótelep Duna felol " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "nincs megadva" NA NA
"4" "29.9" "64" "3" " 15. kerület, Újpalota " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" NA "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"5" "64" "81" "2" " 1. kerület, Attila út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "38.5" "69" "3" " 3. kerület, Óbudai lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "6" "10" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület" "nincs megadva" NA NA
"7" "56.98" "98" "3" " 4. kerület, Újpest " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "28.3" "27" "1" " 7. kerület, Sajó utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "32" "71" "2" " 4. kerület, Újpest – Pozsonyi utcai lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"10" "63.2" "33" "1" " 5. kerület, Belváros " "közepes állapotú" "1950-1980 között" "komfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "dél" "panorámás" "6 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" "20 000 Ft/hó"
"11" "29.9" "54" "2" " 4. kerület, Újpesti lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" "nincs megadva" NA NA
"12" "44.9" "82" "2" " 20. kerület, Téglagyártó utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "dél" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "5 000 Ft/hó"
"13" "54.9" "60" "2" " 7. kerület, Belso-Erzsébetváros " "nincs megadva" NA "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "van" NA
"14" "31.5" "37" "1" " 11. kerület, Kelenvölgy " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "6 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "van" NA
"15" "29" "51" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "közepes állapotú" NA "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "nincs megadva" NA NA
