"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram"
"1" "61.5" "69" "2" " 2. kerület, Buday László utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "6" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "30 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "panorámás" "6 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"2" "43.9" "42" "1" " 11. kerület, Szabolcska Mihály utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "35 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA
"3" "74.99" "78" "3" " 6. kerület, Lovag utca " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "van" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA
"4" "27.9" "47" "2" " 8. kerület, Dobozi utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "udvari beálló" NA
"5" "70" "60" "1" " 5. kerület, Nagy Ignác utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "van" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"6" "33" "57" "2" " 8. kerület, Teleki László tér 7. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "30 000 Ft/hó" "nem" "egy helyiségben" "északnyugat" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA
"7" "59.8" "43" "2" " 1. kerület, Gellérthegy " "újszeru" "2011" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "egy helyiségben" "délnyugat" "utcai" "4 m²" "nem" "tetotéri" "utca, közterület - fizetos övezet" NA
"8" "85.5" "60" "2" " 5. kerület, Markó utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA
"9" "36.9" "68" "3" " 3. kerület, Vörösvári út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" NA "igen" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "részt vett"
"10" "79.9" "90" "3" " 5. kerület, Lipótváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA
