"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg" "erkely" "parkolohely_ara"
"1" "24.5" "64" "2" " 10. kerület, Harmat utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "északkelet" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"2" "24.5" "64" "2" " 10. kerület, Harmat utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "északkelet" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"3" "21.5" "35" "1" " 15. kerület, Nyírpalota út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "részt vett" NA NA NA
"4" "68.5" "90" "3" " 6. kerület, Teréz körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "25 000 Ft/hó" NA NA
"5" "32" "48" "2" " 11. kerület, Bártfai utca " "felújított" "1950-1980 között" "összkomfortos" "B" "földszint" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "részt vett" "15 000 Ft/hó" "4 m²" NA
"6" "118" "130" "3" " 5. kerület, Szép utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"7" "82.9" "87" "3" " 2. kerület, Keleti Károly utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "igen" "külön helyiségben" "északkelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA
"8" "22.6" "27" "1" " 9. kerület, József Attila-lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"9" "220" "270" "6" " 6. kerület, Izabella utca " "felújított" NA "duplakomfortos" "nincs megadva" "3" "3" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"10" "29.7" "56" "2" " 10. kerület, Hungária körút " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nem" "nem tetotéri" "udvari beálló" NA NA NA "3 m²" NA
