"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "erkely"
"1" "21.6" "27" "1" " 4. kerület, Újpesti lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "20 000 Ft/hó" "nem" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA
"2" "24.46" "47" "1" " 15. kerület, Rákospalota " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "28 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA
"3" "40.9" "47" "2" " 14. kerület, Alsórákos " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "33 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "önálló garázs - benne van az árban" NA "6 m²"
"4" "26.8" "53" "2" " 4. kerület, Újpest " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "28 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "panorámás" "igen" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA
"5" "39" "42" "2" " 14. kerület, Alsórákos " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "32 000 Ft/hó" "nem" "egy helyiségben" "dél" "utcai" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "van" "20 m²"
"6" "36.99" "70" "3" " 16. kerület, Újmátyásföld " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "35 000 Ft/hó" "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" NA NA "utca, közterület - ingyenes" NA "4 m²"
"7" "30.9" "51" "2" " 15. kerület, Rákospalota " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "30 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA
"8" "21.5" "30" "1" " 4. kerület, Újpest " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (konvektor)" "23 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA
"9" "45.9" "64" "2" " 14. kerület, Istvánmezo " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "33 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "3 m²"
"10" "34.99" "63" "3" " 4. kerület, Káposztásmegyer I. lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "8" "van" "3 m-nél alacsonyabb" "távfutés" "35 000 Ft/hó" "nem" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA
