"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "rezsikoltseg"
"1" "45" "40" "2" " 1. kerület, Fo utca 52. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nem" "zárószint" "utca, közterület - ingyenes" NA NA NA
"2" "34.2" "65" "3" " 3. kerület, Óbuda-Óváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "udvari beálló" "4 m²" "nincs megadva" NA
"3" "72.5" "105" "5" " 11. kerület, Kelenföld " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "7 m²" NA NA
"4" "37.9" "46" "1" " 8. kerület, Józsefváros – Csarnoknegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA "20 000 Ft/hó"
"5" "26.9" "37" "1" " 8. kerület, Kis Fuvaros utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs" "nem" "egy helyiségben" "észak" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "3 m²" NA "10 000 Ft/hó"
"6" "44.9" "58" "2" " 8. kerület, Rákóczi út " "felújított" NA "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "1 m²" NA "30 000 Ft/hó"
"7" "46" "53" "2" " 7. kerület, Akácfa utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "85" "101" "3" " 2. kerület, Margit körút " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "16 500 Ft/hó"
"9" "28.5" "38" "1" " 7. kerület, Péterfy Sándor utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"10" "63.6" "75" "2" " 8. kerület, Krúdy utca " "felújított" "1950 elott" "összkomfortos" "BB" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nincs" "nem" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"11" "29.5" "55" "2" " 9. kerület, Külso-Ferencváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA
"12" "28.7" "45" "1" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA
"13" "59" "69" "2" " 8. kerület, Népszínház utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "több mint 10" "van" "3 m vagy magasabb" "nincs megadva" "nincs" "nem" "külön és egyben is" "kelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "5 m²" NA "53 000 Ft/hó"
"14" "32.9" "40" "1" " 8. kerület, Déri Miksa utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" NA "23 000 Ft/hó"
"15" "115" "90" "1" " 5. kerület, Apáczai Csere János utca " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "cserépkályha" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"16" "98.9" "77" "3" " 7. kerület, Király utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
