"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "panelprogram"
"1" "47.9" "60" "2" " 11. kerület, Bogdánfy utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"2" "37.26" "54" "2" " 14. kerület, Bolgárkerék utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" "14 000 Ft/hó" NA NA
"3" "81.9" "116" "4" " 8. kerület, Józsefváros – Népszínháznegyed " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "kertre nézo" "6 m²" "nem" "nem tetotéri" "utca, közterület" "31 000 Ft/hó" NA NA
"4" "72" "74" "3" " 9. kerület, Lechner Ödön fasor " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "fan-coil" "nincs megadva" "külön helyiségben" "kelet" "utcai" "6 m²" "nem" "nem tetotéri" "nincs megadva" NA "van" NA
"5" "33.9" "50" "2" " 11. kerület, Kelenföldi lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" "4.5 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva"
"6" "35.99" "48" "1" " 11. kerület, Lágymányos – Muegyetem környéke " "felújítandó" NA "összkomfortos" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "2 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"7" "58.5" "45" "1" " 11. kerület, Gellérthegy " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "északnyugat" "kertre nézo" NA "igen" "nincs megadva" "utca, közterület" NA NA NA
"8" "24.99" "54" "2" " 4. kerület, Újpesti lakótelep " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "54 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs" "nincs megadva"
"9" "31.9" "52" "2" " 10. kerület, Vika köz " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "95" "83" "2" " 6. kerület, Király utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
