"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "40.3" "43" "2" " 6. kerület, Szív utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "89.9" "95" "2" " 1. kerület, Krisztinaváros – Naphegy " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA NA
"3" "25.99" "49" "1" " 18. kerület, Vándor Sándor utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA NA
"4" "39.9" "48" "1" " 14. kerület, Törökor " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "tetotéri" "nincs megadva" NA NA NA NA
"5" "204" "174" "5.5" " 5. kerület, Egyetem tér " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "házközponti, gáz (cirko)" "nem" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" "40 000 Ft/hó" NA
"6" "44.77" "66" "3" " 10. kerület, Újhegyi út " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "9 m²" NA NA NA
"7" "35" "36" "1" " 9. kerület, Középso-Ferencváros " "újszeru" "2015" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "7 m²" NA NA NA
"8" "42.9" "75" "2" " 14. kerület, Miskolci utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"9" "79.9" "92" "3" " 11. kerület, Kruspér utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "39 000 Ft/hó" NA
"10" "139.99" "94" "3" " 5. kerület, Lipótváros " "felújított" NA "luxus" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "22 m²" "van" NA NA
"11" "28.9" "66" "2" " 20. kerület, Köteles utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "22.5" "25" "1" " 9. kerület, Hogyes Endre utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"13" "24.4" "41" "1" " 10. kerület, Állomás utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"14" "23.9" "40" "1" " 10. kerület, Veszprémi utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" NA NA NA
"15" "19.5" "33" "1" " 10. kerület, Noszlopy utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"16" "27.99" "36" "1" " 14. kerület, Kaffka Margit utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" NA NA NA
"17" "34.5" "68" "3" " 15. kerület, Újpalota " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "nincs megadva"
"18" "49.9" "48" "1" " 7. kerület, Dob utca " "jó állapotú" "1950 elott" "összkomfortos" "CC" "1" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"19" "35.9" "41" "1" " 2. kerület, Margit körút " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" "24 500 Ft/hó" NA
"20" "25.99" "49" "1" " 18. kerület, Vándor Sándor utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA NA
