"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "20.9" "82" "2" " 8. kerület, Nagy Templom utca " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "elektromos, cserépkályha" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "59.9" "71" "2" " 2. kerület, Kandó Kálmán utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "6" "van" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "6 m²" NA NA NA
"3" "29" "34" "1" " 13. kerület, Hajdú utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "van" "nincs megadva" NA
"4" "67" "75" "2" " 12. kerület, Krisztinaváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "33" "59" "2" " 16. kerület, Sashalom " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2 m²" NA NA NA
"6" "64.9" "70" "3" " 11. kerület, Szentimreváros " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "udvari beálló - bérelheto" "1.5 m²" "nincs" NA NA
"7" "40" "107" "3" " 21. kerület, Csepel-Királyerdo " "jó állapotú" NA "duplakomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "udvari beálló - benne van az árban" "25 m²" NA NA NA
"8" "49.9" "100" "3" " 1. kerület, Vár " "felújítandó" "1950 elott" "félkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "cserépkályha" "nem" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA "36 000 Ft/hó"
"9" "34.9" "59" "2" " 3. kerület, Föld utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "25 000 Ft/hó"
"10" "24.9" "55" "2" " 4. kerület, Árpád út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "20 000 Ft/hó"
"11" "26.2" "33" "1" " 11. kerület, Etele út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "részt vett" NA
"12" "41.9" "115" "4" " 20. kerület, Gubacsipuszta " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "kertre nézo" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA "van" NA NA
"13" "47.42" "62" "2" " 12. kerület, Alkotás utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "4 m²" "nincs" NA NA
