"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "erkely"
"1" "86" "127" "2" " 6. kerület, Külso-Terézváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "19.9" "37" "1" " 20. kerület, Baross utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"3" "29.9" "48" "2" " 14. kerület, Rákosfalva " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "5" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"4" "32.7" "63" "2" " 8. kerület, Lujza utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nincs" "igen" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "15 000 Ft/hó" NA
"5" "59.9" "73" "3" " 7. kerület, István utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"6" "81.9" "125" "4" " 9. kerület, Bakáts tér " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "13.49" "40" "1" " 20. kerület, Erzsébetfalva " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "nincs megadva" NA "10 000 Ft/hó" NA
"8" "32.9" "46" "1" " 4. kerület, Újpest " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "észak" "kertre nézo" "igen" "nincs megadva" "nincs megadva" NA NA "19.5 m²"
"9" "25.9" "52" "2" " 10. kerület, Bihari utca 17. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "udvari beálló" NA "15 000 Ft/hó" NA
"10" "43.9" "46" "2" " 13. kerület, Kassák Lajos utca " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA
