"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg"
"1" "20" "33" "1" " 10. kerület, Ligettelek " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "29.9" "47" "2" " 10. kerület, Keresztúridulo " "felújított" NA "nincs megadva" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" "4 m²" NA NA
"3" "25.9" "35" "1" " 4. kerület, Kassai utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nem vett részt" NA
"4" "17.5" "28" "1" " 10. kerület, Ligettelek " "jó állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "39.5" "54" "2" " 14. kerület, Alsórákos " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "37.9" "48" "1" " 11. kerület, Lágymányos – Muegyetem környéke " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "7" "van" "3 m vagy magasabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "4 m²" NA "13 200 Ft/hó"
"7" "49.9" "51" "2" " 6. kerület, Bajcsy-Zsilinszky út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "80" "78" "3" " 11. kerület, Otthon utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"9" "62.5" "69" "3" " 22. kerület, Baross Gábor-telep " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "14 m²" NA NA
"10" "36.99" "68" "2" " 14. kerület, Örs vezér tere " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA "2 m²" "nincs megadva" "14 000 Ft/hó"
"11" "34.9" "45" "2" " 11. kerület, Kelenföld " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "5 m²" NA "10 000 Ft/hó"
"12" "68" "75" "2" " 12. kerület, Istenhegy – Diósárok " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "12 m²" NA NA
"13" "33.49" "32" "1" " 11. kerület, Gellérthegy " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület" "nincs" NA NA NA
"14" "42" "50" "1" " 11. kerület, Csóka utca 3/A " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "36.9" "52" "2" " 8. kerület, Losonci tér " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA "4 m²" "részt vett" NA
"16" "159.9" "155" "4" " 5. kerület, Október 6. utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"17" "9.99" "15" "1" " 18. kerület, Rendessytelep " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "délnyugat" "udvari" "igen" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA NA NA
"18" "26.9" "54" "2" " 4. kerület, Újpest-Központ " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "3 m²" "nem vett részt" NA
"19" "46.9" "68" "3" " 7. kerület, Dohány utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"20" "48.9" "55" "2" " 6. kerület, Eötvös utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
