"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "18.9" "35" "1" " 20. kerület, Téglagyár tér " "közepes állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "126.9" "100" "4" " 13. kerület, Danubius utca " "újszeru" "duplakomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" "16 m²" NA NA NA
"3" "19.9" "17" "1" " 7. kerület, István utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"4" "28.5" "64" "3" " 19. kerület, Vas Gereben utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "3 m²" NA NA NA
"5" "49" "68" "2" " 9. kerület, Ferenc körút 25. " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" "4 m²" "nincs" NA NA
"6" "31.5" "40" "1" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "komfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nem" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA
"7" "129.9" "116" "4" " 5. kerület, Honvéd tér " "felújított" "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "1 m²" "van" NA NA
"8" "20.9" "35" "1" " 21. kerület, Csepel-Belváros " "közepes állapotú" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "van" "nincs megadva" NA
"9" "45.9" "71" "2" " 7. kerület, Garay tér " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"10" "38" "87" "4" " 17. kerület, Akadémiaújtelep " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gázkazán" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "12 m²" NA NA NA
