"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "parkolas" "tetoter" "epites_eve" "parkolohely_ara" "panelprogram"
"1" "36.9" "55" "2" " 22. kerület, Nagytétényi út " "felújított" "luxus" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "35 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nem" "utca, közterület - ingyenes" NA NA NA NA
"2" "45.99" "58" "3" " 6. kerület, Zichy Jeno utca 12. " "felújított" "luxus" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "elektromos, padlófutés" "van" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "utca, közterület - fizetos övezet" "nem tetotéri" NA NA NA
"3" "23.89" "34" "1" " 18. kerület, Tas utca x " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "59.9" "51" "2" " 9. kerület, Ülloi út 5. " "új építésu" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "119.5" "103" "4" " 3. kerület, Testvérhegyi út " "új építésu" "duplakomfortos" "AA+" "nincs megadva" "2" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" NA "igen" "külön és egyben is" "délkelet" "panorámás" "30 m²" "igen" "teremgarázs hely - megvásárolható" "nem tetotéri" "2020" "3 M Ft" NA
"6" "29.99" "48" "2" " 16. kerület, Rákóczi út " "felújított" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs" "12 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "udvari" NA "igen" "udvari beálló - benne van az árban" "nem tetotéri" "1950 elott" NA NA
"7" "26.9" "40" "2" " 18. kerület, Margó Tivadar utca " "új építésu" "összkomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "házközponti" "van" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "7 m²" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "nem tetotéri" "2021" "2.5 M Ft" NA
"8" "44.9" "74" "3" " 18. kerület, Margó Tivadar utca " "új építésu" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti" "van" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "10 m²" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "nincs megadva" "2021" "2.5 M Ft" NA
"9" "50.4" "43" "2" " 11. kerület, Pálinkás Antal utca 3. F. " "új építésu" "összkomfortos" "AA+" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "8 800 Ft/hó" "igen" "külön helyiségben" "délkelet" "udvari" "8 m²" "nem" "utca, közterület - ingyenes" "nem tetotéri" "2019" NA NA
"10" "35.9" "58" "3" " 18. kerület, Margó Tivadar utca " "új építésu" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti" "van" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "11 m²" "nincs megadva" "nincs megadva" "nem tetotéri" "2021" NA NA
