"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "13.99" "24" "1" " 4. kerület, Irányi Dániel utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"2" "72" "49" "1" " 8. kerület, Corvin sétány " "újszeru" "2016" "összkomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "19 m²" "5 M Ft" NA NA
"3" "54.9" "93" "3" " 11. kerület, Kelenföld " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"4" "62.5" "84" "4" " 7. kerület, Dob utca 108. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "28.9" "30" "1" " 7. kerület, Középso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "45" "38" "2" " 9. kerület, Lónyay utca " "felújított" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "19.9" "27" "1" " 6. kerület, Rippl-Rónai utca " "felújítandó" "1950 elott" "komfort nélküli" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA "15 000 Ft/hó" NA
"8" "32.99" "53" "2" " 4. kerület, Újpesti lakótelep " "felújított" NA "duplakomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nincs megadva"
"9" "79.9" "91" "3" " 6. kerület, Belso-Terézváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "egyéb" NA "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA
"10" "28.95" "71" "3" " 15. kerület, Drégelyvár utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "3.4 m²" NA NA "nem vett részt"
"11" "44.9" "63" "2" " 9. kerület, Páva utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "39" "28" "1" " 8. kerület, Corvin sétány 122/A " "újszeru" "2018" "összkomfortos" "nincs megadva" "4" "több mint 10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "7 m²" NA NA NA
"13" "33" "40" "1" " 6. kerület, Rózsa utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" "van" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"14" "45.99" "49" "2" " 9. kerület, Vágóhíd utca 3. " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "5" "10" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "9 m²" NA NA NA
"15" "29.5" "52" "2" " 19. kerület, Kispest " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "több mint 10" "van" "nincs megadva" "távfutés" "nincs" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "5 m²" NA NA "nincs megadva"
"16" "27.5" "64" "3" " 10. kerület, Kobánya – Óhegy " "közepes állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "nincs megadva"
"17" "87.5" "72" "3" " 7. kerület, Madách Imre út " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"18" "87.9" "106" "4" " 1. kerület, Szilágyi Dezso tér " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "78" "107" "3" " 8. kerület, Baross utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"20" "39.9" "30" "1" " 5. kerület, Báthory utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
