"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "84.9" "98" "2" " 13. kerület, Hollán Erno utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "26.5" "64" "3" " 10. kerület, Korösi Csoma Sándor út " "felújítandó" "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" NA "nincs megadva" NA NA NA NA
"3" "28.9" "32" "1" " 13. kerület, Hegedus Gyula utca " "jó állapotú" "komfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"4" "67" "84" "2" " 7. kerület, Középso-Erzsébetváros " "felújított" "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "gáz (konvektor)" "igen" "nincs megadva" "délkelet" "utcai" "1 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"5" "39" "51" "2" " 13. kerület, Kassák Lajos utca " "felújított" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "6 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1981-2000 között" "van" "nem vett részt" NA
"6" "32.9" "46" "2" " 11. kerület, Rátz László utca " "jó állapotú" "összkomfortos" "nincs megadva" "9" "9" "van" "3 m-nél alacsonyabb" "házközponti, gázkazán" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "4 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "részt vett" "30 000 Ft/hó"
"7" "24.2" "44" "2" " 10. kerület, Harmat köz " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "2 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" "van" NA NA
"8" "53.41" "39" "1" " 7. kerület, Károly körút " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "7" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "1 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA "18 000 Ft/hó"
"9" "180" "147" "3" " 12. kerület, Virányos út " "felújított" "duplakomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "gázkazán" "nem" "külön és egyben is" "délkelet" "panorámás" "20 m²" "nem" "nem tetotéri" "nincs megadva" "1981-2000 között" "van" NA "30 000 Ft/hó"
"10" "28.75" "46" "1" " 14. kerület, Kerepesi út " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "van" "részt vett" NA
"11" "74.99" "56" "1" " 5. kerület, Stollár Béla utca " "felújított" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "házközponti" "nem" "nincs megadva" "délkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA
"12" "26.6" "55" "3" " 15. kerület, Rákospalota-Kertváros " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA
"13" "64.9" "85" "3" " 9. kerület, Lónyay utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "26 000 Ft/hó"
"14" "74.9" "70" "4" " 13. kerület, Angyalföld " "újszeru" "luxus" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" "igen" "külön helyiségben" "dél" "kertre nézo" "6 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2019" "van" NA NA
"15" "21.9" "37" "1" " 10. kerület, Szövoszék utca " "jó állapotú" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA "nincs megadva" NA
"16" "43.6" "59" "3" " 3. kerület, Óbuda-Óváros " "felújított" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nincs megadva" "udvari beálló - bérelheto" "1981-2000 között" NA NA NA
"17" "57.5" "83" "3" " 14. kerület, Hungária körút " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "nincs megadva" "dél" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület" "1981-2000 között" NA NA NA
"18" "35" "48" "2" " 11. kerület, Etele út " "jó állapotú" "összkomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1981-2000 között" NA "részt vett" NA
"19" "31.5" "69" "3" " 17. kerület, Rákoskeresztúri lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "5 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "nincs" "részt vett" NA
"20" "32.9" "36" "1" " 11. kerület, Vincellér utca 6. " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" "udvari beálló - bérelheto" "1950 elott" "van" NA NA
