"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "parkolohely_ara" "lakopark_neve"
"1" "53.41" "59" "2" " 6. kerület, Külso-Terézváros " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "egy helyiségben" "kelet" "kertre nézo" "6 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "149.9" "121" "3" " 2. kerület, Keleti Károly utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "házközponti" "nincs" "nem" "külön és egyben is" "délkelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "61 000 Ft/hó" NA NA NA
"3" "94.9" "105" "3" " 11. kerület, Sósfürdo utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" "igen" "nincs megadva" "önálló garázs" NA NA NA NA
"4" "35.99" "68" "3" " 3. kerület, Vörösvári út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "dél" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "részt vett" NA NA
"5" "48.9" "70" "2" " 19. kerület, Kispest-Óváros " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"6" "18.9" "25" "1" " 8. kerület, Karácsony Sándor utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "elektromos" "nincs" "nincs megadva" "egy helyiségben" "dél" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "15 000 Ft/hó" NA NA NA
"7" "29.9" "48" "2" " 14. kerület, Herminamezo " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "36.8" "52" "2" " 8. kerület, Fiumei út " "felújított" "1950-1980 között" "összkomfortos" "AA+" "4" "4" "nincs" "3 m-nél alacsonyabb" "padlófutés, elektromos" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "30 000 Ft/hó" NA NA NA
"9" "23.3" "46" "2" " 15. kerület, Zsókavár utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "egy helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "10 000 Ft/hó" "részt vett" NA NA
"10" "62.15" "61" "2" " 3. kerület, Óbuda – Filatorigát " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "egyéb kazán" NA "nincs megadva" "külön és egyben is" "északkelet" "udvari" "4.5 m²" "nem" "nem tetotéri" "udvari beálló - kötelezo megvenni" NA NA "4.5 M Ft" NA
"11" "29.8" "43" "2" " 10. kerület, Cserkesz Lakóház " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "6.6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "Cserkesz Lakóház"
"12" "66.8" "100" "4" " 10. kerület, Cserkesz Lakóház " "új építésu" "2020" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "10.5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "Cserkesz Lakóház"
"13" "53.1" "81" "3" " 10. kerület, Cserkesz Lakóház " "új építésu" "2020" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "5.8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "Cserkesz Lakóház"
"14" "24.9" "35" "1" " 10. kerület, Cserkesz Lakóház " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "dél" "nincs megadva" "6.3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "Cserkesz Lakóház"
"15" "45.9" "73" "2" " 19. kerület, Kispest-Óváros " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"16" "75" "83" "2" " 13. kerület, Újlipótváros " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"17" "41" "62" "2" " 10. kerület, Cserkesz Lakóház " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "5.4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "Cserkesz Lakóház"
"18" "29.8" "43" "2" " 10. kerület, Cserkesz Lakóház " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "6.6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "Cserkesz Lakóház"
"19" "66.8" "100" "4" " 10. kerület, Cserkesz Lakóház " "új építésu" "2020" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "10.5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "Cserkesz Lakóház"
"20" "53.1" "82" "3" " 10. kerület, Cserkesz Lakóház " "új építésu" "2020" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "5.8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "Cserkesz Lakóház"
