"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "erkely" "legkondicionalo"
"1" "25.1" "46" "1" " 14. kerület, Cserto utca " "nincs megadva" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "25 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA NA
"2" "27.9" "51" "2" " 3. kerület, Óbudai lakótelep " "nincs megadva" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"3" "32.5" "51" "2" " 9. kerület, József Attila-lakótelep " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" NA NA "nincs megadva" "1950-1980 között" "4 m²" NA
"4" "20.99" "49" "2" " 17. kerület, Pesti út " "jó állapotú" "nincs megadva" "nincs megadva" "5" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nem" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" NA "utca, közterület - ingyenes" "1981-2000 között" NA "nincs"
"5" "25.7" "53" "2" " 21. kerület, Csepel-Belváros " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" "1950-1980 között" NA NA
"6" "38.2" "57" "2" " 13. kerület, Vizafogó – Dagály utcai lakótelep " "felújított" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "1950-1980 között" "4 m²" NA
"7" "79" "76" "2" " 5. kerület, Belváros " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" "4 m²" NA
"8" "28.9" "47" "2" " 18. kerület, Hosszúház utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" "4 m²" NA
"9" "26.5" "64" "3" " 10. kerület, Korösi Csoma Sándor út " "felújítandó" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" NA NA "nincs megadva" "1981-2000 között" NA NA
"10" "30.9" "43" "1" " 1. kerület, Batthyány utca " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA
"11" "24.9" "56" "2" " 21. kerület, Csepel-Belváros " "közepes állapotú" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1950-1980 között" "4 m²" NA
"12" "29.9" "55" "3" " 14. kerület, Ond vezér útja " "jó állapotú" "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés" "10 000 Ft/hó" "igen" "külön helyiségben" "nyugat" "panorámás" "nem" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" NA "nincs"
"13" "38" "71" "3" " 3. kerület, Hatvany Lajos utca " "felújított" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" NA "van"
"14" "51" "75" "3" " 17. kerület, Csabagyöngye utca " "nincs megadva" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "egyéb" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "2019" "26 m²" NA
"15" "45" "57" "2" " 8. kerület, Német utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "házközponti, gázkazán" "28 000 Ft/hó" "nem" "külön helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" "2.5 m²" "nincs"
"16" "350" "180" "5" " 6. kerület, Dessewffy utca " "felújított" "nincs megadva" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "penthouse" NA "nincs megadva" "1950 elott" "60 m²" NA
"17" "26" "28" "1" " 7. kerület, Garay utca " "felújított" "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" "1950 elott" NA "nincs"
"18" "45" "66" "2" " 8. kerület, Rákóczi út " "jó állapotú" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA NA
"19" "23.8" "35" "1" " 21. kerület, Csepel-Erdoalja " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" "1950-1980 között" NA NA
"20" "59.5" "68" "3" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nem" "nincs megadva" NA "nincs megadva" NA NA NA
