"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "99.2" "80" "3" " 5. kerület, Hercegprímás utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "dél" "utcai" "3.6 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "42.9" "54" "2" " 10. kerület, Kobánya-Városközpont " "jó állapotú" "komfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "tetotéri" "nincs megadva" "1981-2000 között" NA NA NA
"3" "54.9" "78" "4" " 23. kerület, Soroksár – Vargatelep " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "elektromos, padlófutés" "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" "udvari beálló" "2020" NA NA NA
"4" "26.4" "49" "2" " 4. kerület, Erdosor út " "jó állapotú" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "3 m²" "nem" "nincs megadva" "utca, közterület" "1981-2000 között" "van" "21 000 Ft/hó" "nincs megadva"
"5" "35.9" "63" "2" " 11. kerület, Andor utca " "jó állapotú" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "külön helyiségben" "dél" "panorámás" "5 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "nincs" NA "nem vett részt"
"6" "36.4" "51" "2" " 11. kerület, Etele út " "felújítandó" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1981-2000 között" NA NA "nincs megadva"
"7" "36.9" "64" "2" " 10. kerület, Újhegyi út 4/A/A " "felújított" "nincs megadva" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" "udvari beálló" "2001-2010 között" NA "16 000 Ft/hó" NA
"8" "35.9" "57" "2" " 3. kerület, Bálint György utca " "felújított" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "1 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "25 000 Ft/hó" "nincs megadva"
"9" "76.9" "115" "4" " 7. kerület, Szenes Hanna park " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "7.4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "nincs" NA NA
"10" "62.9" "76" "3" " 13. kerület, Tátra utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" "van" NA NA
"11" "69.8" "78" "3" " 7. kerület, Murányi utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "1950 elott" "van" NA NA
"12" "67.6" "63" "2" " 11. kerület, Kooltár utca " "újszeru" "összkomfortos" "AA" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délkelet" "nincs megadva" "12 m²" "igen" "nem tetotéri" "nincs megadva" "2019" "nincs" NA NA
"13" "49.85" "54" "2" " 11. kerület, Radvány utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "házközponti egyedi méréssel" "nem" "egy helyiségben" "dél" "udvari" "5 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA NA NA
"14" "29.89" "57" "2" " 3. kerület, Jós utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA "nincs megadva"
"15" "63.9" "67" "2" " 7. kerület, Rózsa utca " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" "nincs" NA NA
"16" "42.9" "69" "3" " 3. kerület, Lajos utca " "közepes állapotú" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1981-2000 között" NA "35 000 Ft/hó" "részt vett"
