"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "45.5" "48" "2" " 14. kerület, Paskal Garden " "Paskal Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "16.6 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "42.5" "82" "2" " 7. kerület, Középso-Erzsébetváros " NA "felújítandó" "1950 elott" "komfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "udvari" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"3" "46.9" "60" "2" " 14. kerület, Paskal Garden " "Paskal Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "12.4 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "41.9" "50" "2" " 14. kerület, Paskal Garden " "Paskal Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "12 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "54.5" "68" "2" " 14. kerület, Paskal Garden " "Paskal Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "10.9 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "42.5" "50" "2" " 14. kerület, Paskal Garden " "Paskal Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" NA "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "22.99" "31" "1" " 4. kerület, Újpest-Központ " NA "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "72.6" "89" "4" " 14. kerület, Alsórákos " NA "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "12.73 m²" "nincs megadva" "nincs megadva" "udvari beálló - kötelezo megvenni" NA "1.5 M Ft" NA NA
"9" "42" "44" "2" " 11. kerület, Kelenföld " NA "felújított" NA "összkomfortos" "nincs megadva" "1" "több mint 10" "van" "nincs megadva" "távfutés" "igen" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" NA "utca, közterület" "van" NA "22 000 Ft/hó" NA
"10" "29" "32" "1" " 7. kerület, Peterdy utca " NA "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"11" "31.9" "45" "1" " 8. kerület, Baross utca " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "dél" "utcai" "5 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA "12 000 Ft/hó" "részt vett"
"12" "96.9" "80" "3" " 13. kerület, Jász utca " NA "újszeru" "2017" "duplakomfortos" "nincs megadva" "nincs megadva" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "31.5" "50" "2" " 8. kerület, Szigony utca " NA "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "8 600 Ft/hó" "nem vett részt"
"14" "47.4" "57" "2" " 3. kerület, Óbuda-Óváros " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "nincs megadva" "egyéb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" "nem" "nincs megadva" "udvari beálló" NA NA NA "nincs megadva"
"15" "98" "104" "5" " 12. kerület, Virányos " NA "felújítandó" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északnyugat" "nincs megadva" "10 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"16" "21.99" "46" "2" " 10. kerület, Száva utca " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "nincs megadva" "gáz (cirko)" "igen" "egy helyiségben" "nincs megadva" "utcai" NA "igen" "nem tetotéri" "nincs megadva" "van" NA NA NA
"17" "37.2" "57" "2" " 13. kerület, Angyalföldi út " NA "közepes állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA "nincs megadva"
"18" "23.9" "57" "2" " 20. kerület, Helsinki út " NA "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "távfutés egyedi méréssel" "nem" "egy helyiségben" "délnyugat" "utcai" "7 m²" "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA NA
"19" "31" "40" "2" " 13. kerület, Angyalföldi út " NA "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "29" "51" "2" " 8. kerület, Szigony utca " NA "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "8 000 Ft/hó" "nem vett részt"
