"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "39.24" "50" "2" " 11. kerület, Kelenföld " "nincs megadva" "2021" "összkomfortos" "AA" "4" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "10 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA
"2" "49.9" "51" "2" " 6. kerület, Bajcsy-Zsilinszky út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "149" "146" "5" " 2. kerület, Pasarét " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "dél" "kertre nézo" "6 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA NA
"4" "35.9" "51" "2" " 7. kerület, Damjanich utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"5" "32.9" "31" "1" " 10. kerület, Ligettelek " "felújított" "2011" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "észak" "nincs megadva" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "26.9" "56" "2" " 3. kerület, Zemplén Gyozo utca " "felújítandó" NA "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "panorámás" "1 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs" "részt vett" NA
"7" "23.5" "54" "2" " 10. kerület, Harmat utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA
"8" "30.6" "48" "2" " 11. kerület, Kelenföldi lakótelep " "közepes állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "9" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "részt vett" NA
"9" "27.6" "46" "2" " 14. kerület, Alsórákos " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "20 000 Ft/hó"
"10" "48.42" "57" "2" " 13. kerület, Újlipótváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" NA "nincs megadva" NA NA NA
