"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "70.9" "67" "3" " 13. kerület, Kresz Géza utca " "felújított" "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "51.9" "81" "3" " 14. kerület, Istvánmezo " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "3 m²" NA NA NA
"3" "30.5" "45" "1" " 14. kerület, Istvánmezo " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA
"4" "31.5" "38" "1" " 14. kerület, Törökor " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA
"5" "43.6" "44" "1" " 12. kerület, Tamási Áron utca " "felújított" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" "nincs megadva" NA "utca, közterület" NA "10 m²" "van" NA NA
"6" "35" "50" "1" " 14. kerület, Erzsébet királyné útja " "jó állapotú" "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "udvari beálló" "1950-1980 között" "3 m²" "nincs" "12 955 Ft/hó" NA
"7" "31.5" "32" "1" " 12. kerület, Hollósy Simon utca 38. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"8" "70" "102" "2" " 7. kerület, Dohány utca " "felújítandó" "félkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "utca, közterület" NA NA NA NA NA
"9" "22.9" "36" "1" " 14. kerület, Istvánffy utca " "újszeru" "nincs megadva" "nincs megadva" "3" "4" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "2001-2010 között" NA "van" NA NA
"10" "44.9" "73" "2" " 14. kerület, Bácskai utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950 elott" NA NA NA NA
"11" "32.9" "65" "2" " 15. kerület, Drégelyvár utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "északnyugat" "kertre nézo" "nem" "nincs megadva" "utca, közterület" NA NA NA NA "nincs megadva"
"12" "39.9" "63" "3" " 17. kerület, Szárazhegy út 31. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "udvari beálló" "2020" NA NA NA NA
"13" "29.4" "27" "1" " 11. kerület, Kanizsai utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"14" "59.9" "103" "3" " 15. kerület, Litva utca " "nincs megadva" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2019" "13 m²" NA NA NA
"15" "214.9" "92" "3" " 6. kerület, Andrássy út " "nincs megadva" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "egy helyiségben" "dél" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "2019" "10 m²" "nincs" NA NA
"16" "24.6" "47" "2" " 15. kerület, Páskom liget " "felújított" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" NA NA NA "nincs megadva"
"17" "23.9" "46" "2" " 9. kerület, Belso-Ferencváros " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "nincs megadva"
"18" "43.8" "60" "2" " 5. kerület, Semmelweis utca " "felújítandó" "komfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délnyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
"19" "79.4" "54" "2" " 8. kerület, Corvin sétány " "újszeru" "összkomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2019" "44 m²" "van" NA NA
"20" "67" "60" "2" " 5. kerület, Balassi Bálint utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
