"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram"
"1" "37.99" "43" "2" " 6. kerület, Izabella utca 77. " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "elektromos" "7 000 Ft/hó" "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"2" "77.4" "92" "4" " 13. kerület, Csángó utca " "újszeru" "2018" "nincs megadva" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "megújuló energia" NA "nincs megadva" "külön és egyben is" "északkelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely" "van" "7 m²" NA
"3" "39" "41" "1" " 7. kerület, Bethlen Gábor utca 4. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nem" "nincs megadva" "nincs megadva" "van" NA NA
"4" "23.9" "35" "1" " 4. kerület, Újpest " "jó állapotú" NA "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva"
"5" "71" "84" "3" " 13. kerület, Csángó utca " "újszeru" "2018" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "megújuló energia" NA "nincs megadva" "külön és egyben is" "északkelet" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely" "van" "41 m²" NA
"6" "92.9" "138" "3" " 2. kerület, II/A kerület – Remetekertváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "2" "nincs" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "igen" "tetotéri" "önálló garázs - benne van az árban" "nincs" "28 m²" NA
"7" "74.9" "84" "3" " 13. kerület, Csángó utca " "újszeru" "2018" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "megújuló energia" NA "nincs megadva" "külön és egyben is" "északkelet" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely" "van" "53 m²" NA
"8" "37.4" "60" "1" " 9. kerület, Ülloi út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "4 m²" NA
"9" "88.88" "92" "4" " 13. kerület, Csángó utca " "újszeru" "2018" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "megújuló energia" NA "nincs megadva" "külön és egyben is" "északkelet" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely" "van" "17.16 m²" NA
"10" "69.9" "100" "3" " 6. kerület, Csengery utca 76. " "közepes állapotú" "1950 elott" "összkomfortos" "EE" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "24 000 Ft/hó" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" NA NA
