"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram"
"1" "62" "52" "2" " 13. kerület, Sólyatér utca 4/B " "újszeru" "2019" "nincs megadva" "nincs megadva" "5" "7" "van" "nincs megadva" "házközponti" "30 000 Ft/hó" "nincs megadva" "nincs megadva" "kelet" "utcai" "14 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely" NA NA
"2" "25" "53" "2" " 20. kerület, Tótfalusi Kis Miklós sétány " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "40 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA
"3" "38.5" "57" "2" " 17. kerület, Rákoshegy – Helikopter lakópark " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" "24 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"4" "25.5" "59" "2" " 19. kerület, Rákóczi utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva"
"5" "119" "94" "3" " 5. kerület, Veres Pálné utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "1 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"6" "40" "50" "2" " 11. kerület, Ulászló utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "nyugat" "panorámás" NA "nincs megadva" "zárószint" "utca, közterület - ingyenes" "nincs" NA
"7" "28.9" "56" "2" " 10. kerület, Ülloi út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"8" "49.9" "53" "2" " 13. kerület, Frangepán utca " "újszeru" "2018" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "van" NA
"9" "62.9" "64" "2" " 12. kerület, Kissvábhegy " "újszeru" "1981-2000 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "17 000 Ft/hó" "nem" "külön helyiségben" "dél" "panorámás" "10 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" "van" NA
"10" "30.9" "57" "2" " 17. kerület, Földmuves utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "37 999 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "nem vett részt"
"11" "27.5" "55" "2" " 8. kerület, Századosnegyed " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"12" "99.2" "96" "3" " 1. kerület, Aladár utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "10 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"13" "75" "84" "3" " 11. kerület, Kanizsai utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"14" "41.9" "50" "2" " 6. kerület, Jókai utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"15" "49.9" "63" "2" " 12. kerület, Krisztinaváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"16" "34.99" "31" "1" " 11. kerület, Kondorosi út " "újszeru" "2012" "nincs megadva" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nyugat" "udvari" "9 m²" "nem" "nem tetotéri" "utca, közterület" "van" NA
"17" "35.9" "56" "2" " 13. kerület, Futár utca " "felújított" "1981-2000 között" "összkomfortos" "DD" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti, gázkazán" NA "nem" "külön helyiségben" "dél" "panorámás" NA "nem" NA "utca, közterület - ingyenes" "nincs" NA
"18" "23.5" "22" "1" " 7. kerület, Kazinczy utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "10 000 Ft/hó" "igen" "egy helyiségben" "kelet" "udvari" NA "igen" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"19" "27.99" "23" "1" " 7. kerület, Jósika utca " "felújított" NA "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"20" "30.99" "52" "2" " 18. kerület, Korisfa utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
