"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara" "panelprogram"
"1" "35" "52" "2" " 14. kerület, Wass Albert tér " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "24.9" "38" "1" " 10. kerület, Csilla utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA NA NA
"3" "58" "65" "3" " 9. kerület, Viola utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "nincs megadva" "2" "van" "3 m-nél alacsonyabb" "házközponti" "23 000 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "van" "4 m²" "3 M Ft" NA
"4" "26.4" "32" "1" " 3. kerület, Margitliget utca 3. " "jó állapotú" "1950-1980 között" "összkomfortos" "CC" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "egy helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "részt vett"
"5" "35.9" "71" "2" " 4. kerület, Kassai utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés, egyéb" "13 490 Ft/hó" "nem" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "van" "4 m²" NA "nincs megadva"
"6" "63.5" "78" "2" " 8. kerület, Szentkirályi utca 49. " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"7" "31.9" "23" "1" " 6. kerület, Belso-Terézváros " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "21.5" "20" "1" " 14. kerület, Alsórákos " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "3" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "egy helyiségben" "délkelet" "nincs megadva" "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"9" "50.9" "46" "2" " 7. kerület, Erzsébet körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" NA "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"10" "42.9" "38" "2" " 7. kerület, Erzsébet körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" NA "nem" "nincs megadva" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"11" "49" "68" "2" " 7. kerület, Rottenbiller utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "16 700 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "van" "4 m²" NA NA
"12" "98" "128" "3" " 14. kerület, Alsórákos " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön és egyben is" "nyugat" "utcai" "nem" "tetotéri" "utca, közterület - ingyenes" "van" "2 m²" NA NA
"13" "18.5" "32" "2" " 10. kerület, Csilla utca 5/b " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "29.5" "68" "2" " 4. kerület, Szabolcsi Bence tér " "közepes állapotú" "1981-2000 között" "összkomfortos" "CC" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "nincs megadva" "dél" "panorámás" "nem" "nem tetotéri" "utca, közterület" NA NA NA "nincs megadva"
"15" "23.4" "35" "1" " 15. kerület, Drégelyvár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "részt vett"
"16" "57" "67" "2" " 5. kerület, Kecskeméti utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "15 000 Ft/hó" "nincs megadva" "egy helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"17" "32.5" "31" "1" " 6. kerület, Podmaniczky utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"18" "21.9" "38" "1" " 10. kerület, Kobánya-Városközpont " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "nincs megadva"
"19" "33.5" "49" "2" " 13. kerület, Dráva utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "dél" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA "nem vett részt"
"20" "61.9" "100" "4" " 6. kerület, Teréz körút 19. " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "nincs megadva" "8 000 Ft/hó" "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
