"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg"
"1" "109" "151" "4" " 14. kerület, Kerepesi út " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "délkelet" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"2" "32.9" "55" "2" " 14. kerület, Adria sétány " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA
"3" "44.9" "53" "2" " 11. kerület, Bercsényi utca 5. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA
"4" "62.9" "77" "2" " 7. kerület, Akácfa utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"5" "23" "26" "1" " 3. kerület, Kiscelli utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"6" "45" "64" "2" " 8. kerület, Futó utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"7" "24.2" "29" "1" " 3. kerület, Lajos utca 70-72 " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "kelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"8" "99.9" "96" "4" " 7. kerület, Rákóczi út " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "mennyezeti hutés-futés" "van" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "24 000 Ft/hó"
"9" "49.9" "51" "2" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"10" "31.4" "35" "1" " 15. kerület, Szilas park 2. " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "egy helyiségben" "délnyugat" "utcai" "14 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"11" "35" "33" "1" " 6. kerület, Belso-Terézváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"12" "98" "103" "4" " 7. kerület, Erzsébet körút " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"13" "53" "41" "1" " 6. kerület, Hajós utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"14" "22" "45" "1" " 20. kerület, Eperjes utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA
"15" "24.9" "33" "2" " 13. kerület, Angyalföld – Loportárdulo " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"16" "23.9" "36" "1" " 15. kerület, Sárfu utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "9" "10" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "egy helyiségben" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA
"17" "24.9" "35" "2" " 10. kerület, Gyakorló utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "dél" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs megadva" NA
"18" "29.9" "39" "1" " 9. kerület, Börzsöny utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "egy helyiségben" "nyugat" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"19" "38.91" "38" "2" " 13. kerület, Berettyó utca " "újszeru" "2019" "nincs megadva" "nincs megadva" "2" "6" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "délnyugat" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"20" "84.99" "95" "3" " 2. kerület, Rózsadomb " "felújított" NA "luxus" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "kelet" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA NA
