"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "59.9" "77" "3" " 3. kerület, Hunor utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "kelet" "udvari" "4 m²" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" NA NA NA
"2" "26.9" "30" "1" " 3. kerület, Tímár utca " "jó állapotú" "1950-1980 között" "összkomfortos" "D" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"3" "39.5" "39" "2" " 12. kerület, Németvölgy " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"4" "25" "34" "1" " 16. kerület, Mátyásföld – Petofikert " "újszeru" "2016" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"5" "31.9" "71" "2" " 4. kerület, Újpesti lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"6" "39.9" "76" "3" " 8. kerület, József utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "dél" "udvari" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"7" "52.9" "69" "3" " 13. kerület, Gogol utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"8" "43.95" "69" "3" " 3. kerület, Óbuda – Kísérleti lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "nyugat" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "részt vett" NA NA
"9" "36.9" "54" "2" " 11. kerület, Lágymányosi lakótelep " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "dél" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"10" "49.8" "58" "2" " 13. kerület, Váci út " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "6" "van" "nincs megadva" "távfutés, megújuló energia" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "30 000 Ft/hó" NA
"11" "57.9" "62" "2" " 2. kerület, Medve utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "dél" "utcai" "7 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"12" "28.3" "55" "2" " 16. kerület, Újmátyásföld – Centenáriumi lakótelep " "felújítandó" "1981-2000 között" "összkomfortos" "DD" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" NA NA
"13" "32.9" "39" "1" " 9. kerület, Középso-Ferencváros " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "5" "9" "nincs megadva" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" NA "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "9 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"14" "39.61" "56" "2" " 9. kerület, Középso-Ferencváros " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "nincs" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" NA "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA NA
"15" "44.9" "45" "2" " 9. kerület, Középso-Ferencváros " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nyugat" "udvari" "19 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "5 M Ft"
"16" "18.5" "15" "1" " 6. kerület, Bajnok utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "4" "van" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"17" "15.3" "24" "1" " 19. kerület, Ady Endre út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"18" "69.9" "84" "3" " 7. kerület, Wesselényi utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "nincs megadva" "van" "igen" "egy helyiségben" "nincs megadva" "utcai" "84 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"19" "49" "65" "2" " 3. kerület, Vasút sor " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "2" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"20" "295" "80" "3" " 5. kerület, Szent István tér " "felújított" NA "luxus" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "van" "nincs megadva" "külön és egyben is" "északnyugat" "panorámás" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
