"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "parkolas" "tetoter" "rezsikoltseg" "panelprogram"
"1" "26.9" "57" "2" " 20. kerület, Helsinki út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "dél" "utcai" "5 m²" "nem" "utca, közterület - ingyenes" NA NA NA
"2" "250" "99" "3" " 1. kerület, Gellérthegy " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "nincs" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "41 m²" "nincs megadva" "nincs megadva" "nem tetotéri" NA NA
"3" "27" "28" "1" " 3. kerület, Pacsirtamezo utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "utca, közterület" "nem tetotéri" "20 000 Ft/hó" NA
"4" "89.9" "126" "5" " 3. kerület, Törökko " "közepes állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "18 m²" "nincs megadva" "nincs megadva" "nem tetotéri" NA NA
"5" "29.5" "46" "1" " 14. kerület, Cserto utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "25 Ft/hó" "nincs megadva"
"6" "76.9" "115" "3" " 13. kerület, Pannónia utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "igen" "külön és egyben is" "nincs megadva" "utcai" "3 m²" "nem" "utca, közterület - fizetos övezet" "nem tetotéri" NA NA
"7" "107.5" "106" "3" " 13. kerület, Újlipótváros " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "8" "van" "3 m vagy magasabb" "távfutés" "van" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "2.5 m²" "nem" "utca, közterület - fizetos övezet" "nincs megadva" "32 000 Ft/hó" NA
"8" "89.9" "103" "4" " 9. kerület, Közraktár utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "külön és egyben is" "nyugat" "utcai" NA "nincs megadva" "utca, közterület" "nincs megadva" "25 000 Ft/hó" NA
"9" "14.3" "31" "1" " 10. kerület, Gyárdulo " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "kelet" "udvari" NA "nem" "utca, közterület" "nem tetotéri" "7 000 Ft/hó" NA
"10" "32" "28" "2" " 10. kerület, Petroczy utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"11" "66.8" "103" "3" " 8. kerület, Rákóczi út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "házközponti" NA "igen" "külön helyiségben" "nyugat" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "30 000 Ft/hó" NA
"12" "32.5" "66" "2" " 20. kerület, Baross utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "6 m²" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva"
"13" "139.99" "122" "3" " 6. kerület, Külso-Terézváros " "újszeru" "2017" "luxus" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "hoszivattyú" "van" "igen" "nincs megadva" "nincs megadva" "panorámás" "66 m²" "nincs megadva" "teremgarázs hely" "nincs megadva" "40 000 Ft/hó" NA
"14" "89.8" "97" "4" " 1. kerület, Logodi utca 77. " "újszeru" "1950 elott" "nincs megadva" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"15" "26.9" "40" "1" " 7. kerület, Nefelejcs utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "utca, közterület - fizetos övezet" "nincs megadva" NA NA
"16" "47.9" "51" "1" " 12. kerület, Németvölgy " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nem tetotéri" NA NA
"17" "31" "51" "2" " 3. kerület, Búza utca " "nincs megadva" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nincs megadva" "külön helyiségben" "kelet" "utcai" "4 m²" "nem" "utca, közterület - ingyenes" "nem tetotéri" NA "nem vett részt"
