"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram"
"1" "117.5" "111" "3" " 6. kerület, Lázár utca " "felújított" "1950 elott" "összkomfortos" "CC" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti" "van" "30 000 Ft/hó" "igen" "külön és egyben is" "kelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"2" "68" "52" "1" " 5. kerület, Lipótváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "házközponti" NA NA "nincs megadva" "egy helyiségben" "dél" "utcai" NA "nem" "nincs megadva" "utca, közterület" NA NA
"3" "35.6" "81" "3" " 14. kerület, Herminamezo " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" NA "nem" "külön helyiségben" "délnyugat" "utcai" "12 m²" "nincs megadva" "nem tetotéri" "önálló garázs - megvásárolható" "3 M Ft" NA
"4" "130" "130" "9" " 16. kerület, Marcell utca " "jó állapotú" "1950-1980 között" "duplakomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"5" "60" "62" "3" " 12. kerület, Árnyas út 15/A " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" NA "nem" "külön helyiségben" "nyugat" "kertre nézo" "15 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"6" "46" "63" "2" " 1. kerület, Krisztinaváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"7" "49.9" "102" "3" " 9. kerület, Ülloi út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"8" "45" "67" "2" " 11. kerület, Kaptárko utca " "felújított" NA "összkomfortos" "nincs megadva" "8" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "20 000 Ft/hó" "igen" "külön helyiségben" "délnyugat" "panorámás" "4 m²" "nem" "nem tetotéri" "teremgarázs hely" NA "nem vett részt"
"9" "41.5" "54" "2" " 8. kerület, Víg utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" NA "nincs megadva" "egy helyiségben" "délkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA
"10" "229" "221" "6" " 5. kerület, Belváros " "újszeru" "1950 elott" "luxus" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "40 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "5 m²" "nem" "nincs megadva" "nincs megadva" NA NA
"11" "49.9" "52" "2" " 11. kerület, Gazdagrét " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gázkazán" NA NA "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA
"12" "233.69" "152" "5" " 5. kerület, Szemere utca " "felújított" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"13" "52.61" "53" "2" " 3. kerület, Csillaghegy " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "nincs megadva" "3" "van" "nincs megadva" "padlófutés, házközponti" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "18 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"14" "92.87" "72" "3" " 3. kerület, Csillaghegy " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "3" "3" "van" "nincs megadva" "házközponti, padlófutés" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "84 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"15" "71.04" "71" "3" " 3. kerület, Csillaghegy " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "3" "3" "van" "nincs megadva" "házközponti, padlófutés" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "75 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"16" "52.08" "53" "2" " 3. kerület, Csillaghegy " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "1" "3" "van" "nincs megadva" "házközponti, padlófutés" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "18 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"17" "121.18" "140" "4" " 5. kerület, Stollár Béla utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA
"18" "132.53" "100" "3" " 5. kerület, Bihari János utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"19" "53.9" "57" "2" " 11. kerület, Muskotály utca 16. " "felújított" "1950-1980 között" "összkomfortos" "CC" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "13 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"20" "52.3" "72" "2" " 9. kerület, Knézich utca " "felújított" NA "duplakomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "van" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
