"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg"
"1" "57.15" "66" "2" " 3. kerület, Kocsis Sándor út " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "megújuló energia" "van" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "20 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA
"2" "65.9" "80" "2" " 9. kerület, Vágóhíd utca 3. " "nincs megadva" "2018" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "30 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"3" "102.9" "71" "3" " 5. kerület, Belváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"4" "79.9" "78" "3" " 6. kerület, Eötvös utca " "felújított" "2017" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "padlófutés, mennyezeti hutés-futés" "van" "nem" "külön és egyben is" "északnyugat" "udvari" "10 m²" "nem" "penthouse" "utca, közterület - fizetos övezet" NA NA
"5" "109" "87" "3" " 13. kerület, Újpesti rakpart " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nyugat" "panorámás" NA "nem" "nem tetotéri" "nincs megadva" NA NA
"6" "26.6" "35" "1" " 10. kerület, Balkán utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" "részt vett" NA
"7" "48.5" "56" "2" " 7. kerület, Wesselényi utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"8" "46.8" "54" "2" " 3. kerület, Fényes Adolf utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12 m²" "igen" "nincs megadva" "nincs megadva" NA NA
"9" "44.9" "87" "3" " 8. kerület, Szuz utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"10" "16.45" "33" "1" " 10. kerület, Koér utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "igen" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA
