"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "38.38" "42" "2" " 13. kerület, Angyalföld " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "északkelet" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA
"2" "55.9" "70" "3" " 8. kerület, Népszínház utca " "újszeru" "2019" "duplakomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "nincs" "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" "14 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA
"3" "68.9" "72" "2" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "61" "64" "2" " 5. kerület, Hold utca " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" "nincs" NA NA
"5" "227.5" "100" "3" " 5. kerület, Szabadság tér " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "54.3" "82" "2" " 11. kerület, Kelenföld " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "65" "74" "2" " 11. kerület, Budafoki út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "39.9" "53" "2" " 11. kerület, Rátz László utca 26. " "felújított" NA "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "30 000 Ft/hó" "részt vett"
"9" "58.9" "76" "3" " 11. kerület, Karolina út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "udvari" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA
"10" "30.5" "56" "2" " 10. kerület, Kobánya – Óhegy " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" NA "nem" "nincs megadva" "nincs megadva" "nincs" NA NA
