"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely" "legkondicionalo" "rezsikoltseg"
"1" "26.9" "32" "1" " 7. kerület, Középso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "23.7" "53" "2" " 18. kerület, Havanna-lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"3" "57" "73" "2" " 7. kerület, Külso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "52.9" "62" "2" " 2. kerület, Vérhalom " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "9 m²" NA NA
"5" "221.4" "164" "5" " 5. kerület, József nádor tér " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "12 m²" NA NA
"6" "19.9" "17" "1" " 7. kerület, István utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "nincs megadva" NA NA "nincs" NA
"7" "21.9" "36" "1" " 10. kerület, Szövoszék utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" NA "nincs" NA
"8" "109" "123" "3" " 2. kerület, Árpád fejedelem útja " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"9" "79.9" "116" "3" " 2. kerület, Frankel Leó út " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "37" "29" "1" " 11. kerület, Albertfalva – Kondorosi lakónegyed " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "nincs megadva" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "délkelet" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "5 m²" "nincs" "20 000 Ft/hó"
"11" "42.9" "42" "1" " 11. kerület, Lágymányos – Muegyetem környéke " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "elektromos" "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
