"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram"
"1" "42.9" "62" "3" " 9. kerület, Mester utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "6" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "84.9" "53" "2" " 5. kerület, Falk Miksa utca " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "37.8" "65" "2" " 4. kerület, Szíjgyártó utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "panorámás" "nem" "nincs megadva" "nincs megadva" "10 000 Ft/hó" "3 m²" "nem vett részt"
"4" "50.9" "89" "3" " 13. kerület, Gömb utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "3 m²" NA
"5" "159" "118" "4" " 11. kerület, Hosszúréti utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "hoszivattyú" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" NA "56 m²" NA
"6" "76.9" "98" "3" " 6. kerület, Szondi utca " "közepes állapotú" NA "duplakomfortos" "nincs megadva" "4" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"7" "30.5" "44" "2" " 15. kerület, Arany János utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "igen" "nincs megadva" "udvari beálló" "20 000 Ft/hó" NA NA
"8" "13.9" "23" "1" " 21. kerület, Színesfém utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"9" "20.5" "32" "1" " 19. kerület, Corvin körút " "közepes állapotú" NA "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "nincs megadva" "nyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "4 m²" "nincs megadva"
"10" "68.5" "92" "4" " 6. kerület, Felso erdosor " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "igen" "nincs megadva" "nincs megadva" NA NA NA
"11" "21.48" "30" "1" " 20. kerület, Gubacsi lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"12" "225" "163" "4" " 13. kerület, Révész utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "60 m²" NA
"13" "27.9" "55" "2" " 15. kerület, Páskomliget utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nem" "nincs megadva" "utca, közterület" NA NA "nincs megadva"
"14" "68.9" "85" "3" " 2. kerület, Rózsadomb " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"15" "73" "92" "3" " 12. kerület, Széchenyihegy " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "egyéb" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "8 m²" NA
"16" "49.5" "68" "2" " 2. kerület, Országút " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
