"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram"
"1" "74.9" "117" "5" " 1. kerület, Attila út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "távfutés" "van" "40 000 Ft/hó" "nem" "külön és egyben is" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA
"2" "45" "63" "2" " 22. kerület, Nagytétény " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "7 m²" NA
"3" "42.5" "56" "2" " 10. kerület, Kis Gergely utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "8 m²" NA
"4" "25.9" "51" "2" " 10. kerület, Állomás utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "2 m²" "nincs megadva"
"5" "35.4" "43" "1" " 8. kerület, Harminckettesek tere " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "nincs megadva" NA NA "igen" "egy helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"6" "31.49" "53" "2" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "egyéb" NA NA "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"7" "29.9" "37" "1" " 8. kerület, Százados út " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"8" "55" "80" "3" " 7. kerület, Dembinszky utca 45. " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs" "30 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA
"9" "25.8" "31" "1" " 3. kerület, Ágoston utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "4" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" NA "igen" "egy helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "4 m²" "nincs megadva"
"10" "54.9" "74" "3" " 12. kerület, Krisztinaváros – Városmajor " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "igen" "külön helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "nincs megadva" NA NA
"11" "24.95" "46" "2" " 17. kerület, Pesti út " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "6" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "20 000 Ft/hó" "nem" "egy helyiségben" "délkelet" "nincs megadva" "nem" "tetotéri" "utca, közterület - ingyenes" NA NA
"12" "75.1" "81" "3" " 13. kerület, Pannónia utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "házközponti" "van" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "6 m²" NA
"13" "48.94" "52" "1" " 6. kerület, Aradi utca " "nincs megadva" "2011" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA
"14" "47.9" "60" "3" " 7. kerület, Király utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"15" "21.9" "26" "1" " 13. kerület, Visegrádi utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "15 000 Ft/hó" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"16" "47.72" "53" "1" " 6. kerület, Aradi utca " "felújított" "2011" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "7 m²" NA
"17" "47.71" "53" "1" " 6. kerület, Aradi utca " "felújított" "2011" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "7 m²" NA
"18" "45.5" "41" "1" " 7. kerület, Klauzál utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1 m²" NA
"19" "28" "27" "1" " 3. kerület, Apát utca " "nincs megadva" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA "nincs megadva"
"20" "47.9" "60" "2" " 7. kerület, Izabella utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "udvari beálló" NA NA
