"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "53.9" "61" "2" " 7. kerület, Dob utca " "felújított" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA NA
"2" "37.92" "47" "2" " 4. kerület, Újpest " "nincs megadva" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "2019" "nincs" "6.26 m²" "2.5 M Ft" NA NA
"3" "35.24" "47" "2" " 4. kerület, Újpest " "nincs megadva" "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "tetotéri" "udvari beálló - kötelezo megvenni" "2019" NA NA "2 M Ft" NA NA
"4" "38.9" "56" "2" " 14. kerület, Törökor " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA NA
"5" "58.17" "88" "3" " 4. kerület, Újpest " "nincs megadva" "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "kertre nézo" "nincs megadva" "tetotéri" "teremgarázs hely - kötelezo megvenni" "2020" NA "10.4 m²" NA NA NA
"6" "28.85" "53" "2" " 4. kerület, Újpesti lakótelep " "közepes állapotú" "nincs megadva" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "4 m²" NA "nincs megadva" NA
"7" "28.5" "28" "1" " 6. kerület, Külso-Terézváros " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"8" "35.1" "44" "2" " 4. kerület, Újpest " "nincs megadva" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "2020" NA NA NA NA NA
"9" "58.9" "90" "2" " 8. kerület, Baross utca " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"10" "42.5" "50" "2" " 6. kerület, Aradi utca " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
