"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "panelprogram"
"1" "71.9" "58" "3" " 6. kerület, Mozsár utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "padlófutés" "van" "20 000 Ft/hó" "igen" "külön helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "80" "78" "3" " 9. kerület, Vágóhíd utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "házközponti" NA NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "16 m²" "6 M Ft" NA
"3" "25.5" "50" "2" " 3. kerület, Szentendrei út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "24 998 Ft/hó" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "5 m²" NA "nem vett részt"
"4" "29.9" "40" "1" " 11. kerület, Szerémi sor " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"5" "30.9" "44" "1" " 8. kerület, Szerdahelyi utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "20 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "43.1" "69" "3" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "15 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"7" "47.49" "48" "2" " 9. kerület, Bárd utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA NA
"8" "36.8" "40" "2" " 8. kerület, Mátyás tér " "újszeru" "2014" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "házközponti" NA NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "5 m²" NA NA
"9" "78" "86" "3" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "59.99" "64" "2" " 14. kerület, Ornagy utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"11" "67.9" "60" "3" " 13. kerület, Vizafogó " "újszeru" "2019" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "igen" "egy helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "14 m²" "5 M Ft" NA
"12" "34.8" "33" "1" " 9. kerület, Sobieski János utca " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"13" "27.99" "26" "1" " 7. kerület, Jósika utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "elektromos" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "nincs megadva" NA NA NA
"14" "39.1" "48" "2" " 11. kerület, Kelenföld " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "8 m²" NA NA
"15" "27.49" "44" "1" " 18. kerület, Kinizsi Pál utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" NA NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA
"16" "29.99" "44" "1" " 7. kerület, Rottenbiller utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"17" "34.2" "75" "2" " 10. kerület, Kobánya – Óhegy " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "nincs megadva" NA NA "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"18" "24.99" "19" "1" " 7. kerület, Jósika utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "elektromos" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "nincs megadva" NA NA NA
"19" "39.9" "56" "2" " 14. kerület, Alsórákos " "felújított" NA "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "nincs megadva" "távfutés" "van" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "8 m²" NA NA
"20" "39.9" "31" "1" " 6. kerület, Jókai utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "van" "30 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA
