"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas"
"1" "42.5" "80" "4" " 3. kerület, Óbudai lakótelep " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" "12 000 Ft/hó" "igen" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes"
"2" "22.2" "31" "2" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" NA "utca, közterület - ingyenes"
"3" "57" "67" "2" " 5. kerület, Kecskeméti utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva"
"4" "27.98" "41" "1" " 13. kerület, Angyalföld " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "1 m²" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet"
"5" "106" "75" "2" " 1. kerület, Vár " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "észak" "utcai" "5 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva"
"6" "98" "138" "3" " 2. kerület, Honvéd utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "40 000 Ft/hó" "nem" "külön és egyben is" "dél" "kertre nézo" "25 m²" "nem" "legfelso emelet, nem tetotéri" NA "udvari beálló - benne van az árban"
"7" "204.71" "146" "4" " 12. kerület, Csillebérc " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "hoszivattyú" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "50 m²" "nincs megadva" "zárószint" NA "önálló garázs"
"8" "109" "117" "4" " 2. kerület, Víziváros " "jó állapotú" "2013" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "22 m²" "nincs megadva" "tetotéri" NA "nincs megadva"
"9" "63.5" "92" "4" " 15. kerület, Károlyi Sándor út " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" NA "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "19.54 m²" "igen" "nem tetotéri" NA "udvari beálló"
"10" "34.9" "44" "2" " 13. kerület, Bessenyei utca 25. " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "20 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület"
