"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "lakopark_neve" "epites_eve" "parkolohely_ara" "legkondicionalo"
"1" "31.9" "53" "2" " 9. kerület, Középso-Ferencváros " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "43.9" "40" "1" " 11. kerület, Thallóczy Lajos utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "20 000 Ft/hó" NA NA NA NA
"3" "27.9" "32" "1" " 7. kerület, Szövetség utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "10 000 Ft/hó" NA NA NA NA
"4" "23.8" "36" "1" " 4. kerület, Irányi Dániel utca 1. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "6 500 Ft/hó" NA NA NA NA
"5" "46.8" "52" "2" " 7. kerület, Verseny utca " "felújított" "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"6" "49.9" "67" "3" " 14. kerület, Paskal Rose " "új építésu" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "északkelet" "udvari" "23 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "Paskal Rose" "2019" "3 M Ft" NA
"7" "76.9" "105" "3" " 11. kerület, Egry József utca " "jó állapotú" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA "van"
"8" "139" "95" "2" " 5. kerület, Szalay utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "28 000 Ft/hó" NA NA NA NA
"9" "20.5" "33" "1" " 10. kerület, Hatház utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "20 000 Ft/hó" NA "1950-1980 között" NA NA
"10" "79.9" "64" "2" " 6. kerület, Teréz körút 31. " "felújított" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "1950 elott" NA "van"
"11" "26.5" "49" "1" " 10. kerület, Liget utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "1950-1980 között" NA NA
"12" "76.1" "105" "4" " 6. kerület, Külso-Terézváros " "újszeru" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"13" "89.8" "94" "4" " 13. kerület, Csata utca " "újszeru" "duplakomfortos" "AA++" "8" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, hoszivattyú" "igen" "külön és egyben is" "nyugat" "nincs megadva" "65 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "2018" NA "van"
"14" "57.5" "42" "1" " 5. kerület, Szervita tér " "jó állapotú" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "1950 elott" NA NA
"15" "63.9" "42" "1" " 5. kerület, Bécsi utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
