"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "rezsikoltseg" "legkondicionalo" "parkolohely_ara"
"1" "29.99" "51" "2" " 3. kerület, Hadrianus utca " "jó állapotú" "nincs megadva" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "részt vett" "nincs megadva" NA NA NA NA
"2" "120" "130" "4" " 2. kerület, Csatárka út " "jó állapotú" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "panorámás" "4 m²" "igen" "nincs megadva" NA "önálló garázs - benne van az árban" "1981-2000 között" "45 000 Ft/hó" NA NA
"3" "25.99" "72" "2" " 18. kerület, Havanna utca " "felújítandó" "nincs megadva" "nincs megadva" "7" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA NA NA NA
"4" "29.9" "63" "2" " 21. kerület, Csepel-Belváros " "közepes állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" NA NA NA
"5" "85" "64" "3" " 6. kerület, Székely Mihály utca " "újszeru" "duplakomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "délkelet" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely" "2011" "20 000 Ft/hó" "van" NA
"6" "27.4" "59" "2" " 19. kerület, Kispesti lakótelep " "felújított" "összkomfortos" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nem vett részt" "nincs megadva" NA NA NA NA
"7" "40.9" "70" "2" " 7. kerület, Középso-Erzsébetváros " "felújítandó" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "dél" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA NA
"8" "29.99" "69" "2" " 10. kerület, Kobánya-Városközpont " "jó állapotú" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "cserépkályha, gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "6 m²" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA NA
"9" "29.4" "67" "2" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "7 m²" "nincs megadva" NA NA "nincs megadva" "1950-1980 között" NA NA NA
"10" "79" "84" "2" " 5. kerület, Lipótváros " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"11" "58.9" "60" "2" " 13. kerület, Újlipótváros " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "északkelet" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"12" "24.5" "48" "2" " 16. kerület, Sashalom – Egyenes utcai lakótelep " "közepes állapotú" "összkomfortos" "HH" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "dél" "utcai" NA "nem" NA NA "utca, közterület - ingyenes" "1950-1980 között" "15 000 Ft/hó" "nincs" NA
"13" "42.89" "92" "3" " 8. kerület, Festetics György utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950 elott" "20 000 Ft/hó" NA NA
"14" "80.8" "72" "2" " 7. kerület, Garay utca " "felújított" "luxus" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "dél" "utcai" "2 m²" "nem" "nem tetotéri" NA "utca, közterület" NA NA "van" NA
"15" "31.5" "42" "1" " 8. kerület, Józsefváros – Népszínháznegyed " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950 elott" NA "nincs" NA
"16" "26" "33" "1" " 12. kerület, Krisztinaváros " "felújítandó" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"17" "45.9" "64" "3" " 18. kerület, Krepuska Géza-telep " "újszeru" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "20 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" "2001-2010 között" NA NA NA
"18" "33.5" "44" "1" " 10. kerület, Gyárdulo " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"19" "31.9" "43" "1" " 9. kerület, Középso-Ferencváros " "nincs megadva" "összkomfortos" "AA+" "1" "9" "van" "3 m-nél alacsonyabb" "megújuló energia" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2019" NA "van" "4 M Ft"
"20" "29.5" "32" "1" " 6. kerület, Szív utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "5" "van" "nincs megadva" "gáz (konvektor)" "igen" "nincs megadva" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" NA "nincs megadva" NA NA NA NA
