"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram"
"1" "73.6" "86" "3" " 12. kerület, Tartsay Vilmos utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" "6 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"2" "49.9" "71" "2" " 13. kerület, Angyalföld " "nincs megadva" "2017" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "északkelet" "udvari" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"3" "32.9" "43" "2" " 11. kerület, Budaörsi út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "kelet" "utcai" "4 m²" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA NA
"4" "28.9" "49" "2" " 20. kerület, Bíró Mihály utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "külön helyiségben" "dél" "utcai" "7 m²" "nem" NA "utca, közterület - ingyenes" "30 000 Ft/hó" NA
"5" "61.9" "66" "3" " 8. kerület, Krúdy utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "40 000 Ft/hó" NA
"6" "29.5" "57" "2" " 20. kerület, Helsinki út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "6 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "40 000 Ft/hó" "nincs megadva"
"7" "19.9" "31" "1" " 16. kerület, Romhány utca 28. " "jó állapotú" NA "komfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"8" "44.5" "66" "2" " 7. kerület, Marek József utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"9" "42.9" "52" "2" " 10. kerület, Kobánya-Városközpont " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "40 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"10" "225" "163" "4" " 13. kerület, Vizafogó " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "60 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
