"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "parkolohely_ara" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "26.49" "25" "2" " 7. kerület, Cserhát utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "65.2" "78" "4" " 13. kerület, Frangepán utca 28-30 " "nincs megadva" "összkomfortos" "nincs megadva" "3" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön és egyben is" "északkelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" "13 m²" "3.56 M Ft" NA NA NA
"3" "55" "51" "2" " 2. kerület, Kurucles " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "1981-2000 között" "9 m²" NA "nincs" NA NA
"4" "48" "48" "1" " 11. kerület, Kosztolányi Dezso tér " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "10 m²" NA NA NA NA
"5" "59.6" "75" "3" " 13. kerület, Frangepán utca 28-30 " "nincs megadva" "összkomfortos" "nincs megadva" "2" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön és egyben is" "nyugat" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" "9 m²" "3.56 M Ft" NA NA NA
"6" "58.4" "83" "2" " 14. kerület, Róna utca " "felújított" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "1950 elott" "3 m²" NA "nincs" NA NA
"7" "97.3" "99" "2" " 7. kerület, Rákóczi út " "felújított" "nincs megadva" "nincs megadva" "6" "nincs megadva" "nincs" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "5 m²" NA NA NA NA
"8" "22" "35" "2" " 21. kerület, Csepel-Ófalu " "felújítandó" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "3 m²" NA NA "nincs megadva" NA
"9" "72" "80" "3" " 8. kerület, Vas utca " "újszeru" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" NA NA "van" NA NA
"10" "48.9" "71" "3" " 2. kerület, Rózsadomb " "felújítandó" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
