"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "epites_eve" "legkondicionalo" "parkolohely_ara"
"1" "29.99" "55" "2" " 4. kerület, Pozsonyi utca " "felújított" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "14 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "25.9" "53" "2" " 4. kerület, Újpest-Központ " "felújítandó" "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" NA NA NA
"3" "84.9" "99" "4" " 3. kerület, Rozália utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "18 m²" "1981-2000 között" NA NA
"4" "96.7" "96" "3" " 12. kerület, Kissvábhegy " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "6 m²" "1950-1980 között" NA NA
"5" "127.9" "125" "5" " 6. kerület, Jókai utca " "nincs megadva" "luxus" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" NA "nincs megadva" "külön és egyben is" "nyugat" "panorámás" "nincs megadva" "penthouse" NA "utca, közterület - fizetos övezet" "14 m²" NA NA NA
"6" "30.99" "53" "2" " 4. kerület, Munkásotthon utca 53. " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"7" "77.9" "105" "4" " 8. kerület, Tavaszmezo utca " "nincs megadva" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "1950 elott" "nincs" NA
"8" "49.9" "48" "2" " 12. kerület, Nárcisz utca 1. " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" "5 m²" "1950-1980 között" NA NA
"9" "24.5" "41" "2" " 18. kerület, Csörgofa utca " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "nincs megadva" NA "igen" "nincs megadva" "nincs megadva" "utcai" "igen" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "1981-2000 között" NA NA
"10" "42.9" "49" "2" " 13. kerület, Kárpát utca " "jó állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés" "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA "van" NA
