"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "parkolohely_ara" "legkondicionalo" "erkely"
"1" "23.8" "47" "2" " 15. kerület, Zsókavár utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "9 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "részt vett" "nincs megadva" NA NA NA NA
"2" "22.5" "52" "2" " 10. kerület, Vécs köz " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "észak" "udvari" "igen" "nincs megadva" NA "utca, közterület" "1950 elott" NA NA NA
"3" "34.9" "42" "1" " 6. kerület, Bajza utca " "felújított" "komfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA NA
"4" "39.9" "49" "2" " 9. kerület, Középso-Ferencváros " "nincs megadva" "összkomfortos" "CC" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2001-2010 között" "4 M Ft" NA NA
"5" "44.9" "54" "2" " 11. kerület, Villányi út " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA NA NA
"6" "38.3" "36" "1" " 2. kerület, Országút " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "külön helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA "nincs" NA
"7" "28.8" "62" "2" " 23. kerület, Soroksár-Újtelep " "felújított" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA "van" NA
"8" "25.5" "52" "2" " 20. kerület, Erzsébetfalva " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "1950-1980 között" NA NA NA
"9" "25.9" "50" "2" " 23. kerület, Nyír utca " "felújított" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor), elektromos" NA "nem" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "nincs megadva" NA NA "nincs" "2 m²"
"10" "27.3" "53" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "felújított" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA "15 m²"
"11" "28.9" "35" "1" " 12. kerület, Városmajor utca " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (konvektor)" "30 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA "van" NA
"12" "32.9" "42" "1" " 7. kerület, Király utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "25 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA NA
"13" "99" "73" "2" " 2. kerület, Törökvész " "újszeru" "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "dél" "kertre nézo" "nincs megadva" "tetotéri" NA "utca, közterület" "2001-2010 között" NA NA "7 m²"
"14" "30.99" "51" "2" " 3. kerület, Búvár utca " "jó állapotú" "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "35 000 Ft/hó" "nincs megadva" "egy helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "részt vett" "nincs megadva" NA NA "van" "8 m²"
"15" "79.9" "77" "2" " 3. kerület, Nánási út " "újszeru" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "2001-2010 között" NA NA NA
"16" "39.9" "40" "1" " 13. kerület, Angyalföld " "jó állapotú" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "8 000 Ft/hó" "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" NA "udvari beálló" "1950 elott" NA NA NA
