"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "panelprogram"
"1" "25" "78" "3" " 20. kerület, Erzsébetfalva " "közepes állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "68.5" "96" "3" " 2. kerület, Országút " "felújított" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "45 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA
"3" "29.9" "52" "2" " 21. kerület, Kossuth Lajos utca " "felújított" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "4 m²" "nem vett részt"
"4" "37.5" "51" "2" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA
"5" "94.9" "110" "3" " 11. kerület, Szent Gellért tér " "felújított" "duplakomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"6" "119.9" "120" "4" " 5. kerület, Belváros " "jó állapotú" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "van" "28 m²" NA
"7" "57.9" "57" "2" " 9. kerület, Thaly Kálmán utca 26. " "nincs megadva" "összkomfortos" "AA+" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "16 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2019" "van" "15 m²" NA
"8" "35" "61" "2" " 19. kerület, Csokonai utca " "felújított" "összkomfortos" "CC" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "van" "4 m²" "nincs megadva"
"9" "33.4" "55" "2" " 9. kerület, Lobogó utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "4 m²" NA
"10" "23.9" "41" "1" " 13. kerület, Angyalföld " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA
"11" "56.5" "100" "4" " 11. kerület, Lágymányos " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "nincs" "3 m²" NA
