"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "lakopark_neve" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "36.99" "54" "2" " 7. kerület, Peterdy utca " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"2" "399.5" "148" "4" " 1. kerület, Márvány 20 Residences " "új építésu" "luxus" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" "igen" "külön és egyben is" "nincs megadva" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "Márvány 20 Residences" "2019" "van" "103.9 m²" "6 M Ft" NA NA
"3" "37.06" "44" "2" " 10. kerület, Mádi utca 124. " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA "2001-2010 között" "nincs" "6 m²" NA "30 000 Ft/hó" NA
"4" "51.9" "72" "3" " 14. kerület, Szugló utca " "jó állapotú" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - bérelheto" NA "2019" NA "8 m²" NA NA NA
"5" "36.9" "50" "3" " 9. kerület, Ülloi út " "felújított" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs" NA NA "20 000 Ft/hó" NA
"6" "26.5" "39" "1" " 13. kerület, Mosoly utca " "felújítandó" "nincs megadva" "HH" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "1950-1980 között" "nincs" NA NA "12 000 Ft/hó" NA
"7" "34.89" "80" "2" " 4. kerület, Árpád út " "jó állapotú" "nincs megadva" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "tetotéri" "udvari beálló - benne van az árban" NA "1950-1980 között" NA NA NA "40 000 Ft/hó" NA
"8" "28.5" "57" "2" " 18. kerület, Építo utca 18/B " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "1950-1980 között" NA NA NA NA NA
"9" "58" "83" "2" " 11. kerület, Tas vezér utca " "felújítandó" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "zárószint" "nincs megadva" NA "1950 elott" NA "3 m²" NA NA NA
"10" "26.9" "50" "2" " 18. kerület, Igaz utca 5. " "nincs megadva" "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "4 m²" NA NA NA
