"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely"
"1" "34.5" "58" "2" " 13. kerület, Párkány utca " "felújítandó" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "40 000 Ft/hó" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "nem vett részt" "utca, közterület" NA
"2" "35.5" "40" "1" " 8. kerület, Krúdy utca " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "7 000 Ft/hó" "nem" "egy helyiségben" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA
"3" "40" "52" "2" " 8. kerület, Józsefváros – Orczynegyed " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "igen" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" NA "nincs megadva" NA
"4" "58.9" "73" "4" " 7. kerület, Középso-Erzsébetváros " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "16 000 Ft/hó" "nem" "külön és egyben is" "nyugat" "udvari" "nem" "nem tetotéri" NA "nincs megadva" NA
"5" "41.9" "36" "1" " 13. kerület, Pannónia utca " "felújított" "1950 elott" "luxus" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nem" "nincs megadva" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "utca, közterület" NA
"6" "29.9" "67" "2" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "16 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" NA NA "nincs megadva" "7 m²"
"7" "22.8" "26" "1" " 8. kerület, Szilágyi utca " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"8" "101.32" "149" "3" " 17. kerület, Rákoscsaba " "nincs megadva" "2018" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko), padlófutés" "van" NA "nem" "egy helyiségben" "délnyugat" "udvari" "igen" "legfelso emelet, nem tetotéri" NA "udvari beálló" "14.24 m²"
"9" "71.4" "105" "3" " 17. kerület, Rákoscsaba " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "van" NA "nem" "egy helyiségben" "délnyugat" "udvari" "igen" "nincs megadva" NA "udvari beálló" NA
"10" "51" "75" "2" " 17. kerület, Rákoscsaba " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "van" NA "nem" "külön helyiségben" "délnyugat" "udvari" "igen" "nincs megadva" NA "udvari beálló" NA
