"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "legkondicionalo"
"1" "49.9" "60" "2" " 3. kerület, Óbuda-Óváros " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "3.2 m²" "nem" "nincs megadva" "nincs megadva" NA NA NA
"2" "79.9" "111" "3" " 11. kerület, Bertalan Lajos utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön és egyben is" "észak" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "47.9" "81" "2" " 9. kerület, Ülloi út " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "kertre nézo" NA "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA
"4" "59.9" "80" "2" " 1. kerület, Krisztinaváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"5" "74.9" "70" "3" " 12. kerület, Istenhegy " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "9 m²" "nincs megadva" "nincs megadva" "önálló garázs" NA NA NA
"6" "54.9" "53" "2" " 7. kerület, Rumbach Sebestyén utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "12 000 Ft/hó" NA NA
"7" "79.5" "74" "2" " 6. kerület, Révay utca " "újszeru" "1950 elott" "luxus" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "igen" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"8" "28.9" "40" "1" " 11. kerület, Kende utca " "felújítandó" "1950-1980 között" "komfortos" "nincs megadva" "szuterén" "5" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"9" "47.5" "80" "3" " 3. kerület, Juhász Gyula utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA
"10" "140" "111" "4" " 5. kerület, Bihari János utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "4.5 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "van"
"11" "62.9" "80" "3" " 13. kerület, Hegedus Gyula utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "házközponti" "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "48.9" "52" "2" " 5. kerület, Lipótváros " "nincs megadva" NA "nincs megadva" "nincs megadva" "3" "3" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"13" "19.9" "56" "2" " 20. kerület, Vécsey utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"14" "56.5" "80" "2" " 11. kerület, Daróczi út " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" NA "nincs megadva" "tetotéri" "nincs megadva" NA NA NA
"15" "23.7" "55" "2" " 22. kerület, Budafok " "újszeru" "2018" "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "igen" "nincs megadva" "nincs megadva" "30 000 Ft/hó" NA "van"
"16" "79.9" "90" "3" " 1. kerület, Víziváros – Váralja " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs"
"17" "28" "58" "2" " 9. kerület, Gubacsi út " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"18" "23.99" "37" "1" " 10. kerület, Harmat utca " "közepes állapotú" NA "összkomfortos" "FF" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "kertre nézo" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "30 000 Ft/hó" NA "nincs"
"19" "129" "149" "4" " 6. kerület, Dózsa György út 108. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs"
"20" "37" "39" "2" " 7. kerület, Alsó erdosor " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA "van"
