"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "legkondicionalo" "rezsikoltseg"
"1" "39.5" "49" "2" " 14. kerület, Alsórákos " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "9.6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "69" "86" "4" " 3. kerület, Pusztakúti út 12. " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "kelet" "udvari" "17 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.5 M Ft" NA NA NA
"3" "43.99" "69" "2" " 4. kerület, Újpesti lakótelep " "nincs megadva" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"4" "24.9" "28" "1" " 8. kerület, Auróra utca 6. " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "29.9" "62" "2" " 4. kerület, Lakkozó utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "4" "nincs" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nem vett részt" NA NA
"6" "360" "300" "6" " 5. kerület, Semmelweis utca 9. " "felújítandó" NA "nincs megadva" "nincs megadva" "5" "5" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"7" "42.5" "57" "1" " 13. kerület, Párkány utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "dél" "utcai" "6 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva" "van" "19 000 Ft/hó"
"8" "46.3" "68" "3" " 22. kerület, Budafok " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nem" "külön helyiségben" "nyugat" "utcai" "6.56 m²" "nem" "nincs megadva" "udvari beálló - benne van az árban" NA NA "nincs" NA
"9" "34.9" "80" "2" " 4. kerület, Árpád út " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "önálló garázs" NA NA NA NA
"10" "31.5" "63" "3" " 21. kerület, Rakéta utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "11 000 Ft/hó"
"11" "44.9" "74" "2" " 2. kerület, Margit körút " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"12" "37.99" "63" "2" " 14. kerület, Róna utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "északnyugat" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA NA "nincs" NA
"13" "27.5" "27" "1" " 4. kerület, Károlyi István utca 7. " "újszeru" "2011" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "kelet" "utcai" "6 m²" "nem" "nem tetotéri" "nincs megadva" NA NA "van" "20 000 Ft/hó"
"14" "43.5" "39" "1" " 7. kerület, Rumbach Sebestyén utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "dél" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"15" "24.5" "33" "1" " 22. kerület, Budafok-Belváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "van" NA
"16" "32.99" "31" "1" " 5. kerület, Belváros " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "nincs" "20 000 Ft/hó"
"17" "28.9" "58" "2" " 10. kerület, Somfa köz " "felújítandó" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
