"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram"
"1" "72.9" "75" "3" " 11. kerület, Csurgói út " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "16 000 Ft/hó" "nincs megadva" "külön és egyben is" "nyugat" "kertre nézo" "14 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "16 M Ft" NA
"2" "65.9" "71" "2" " 12. kerület, Istenhegy " "közepes állapotú" NA "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "házközponti" NA NA "igen" "nincs megadva" "dél" "panorámás" "10 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA
"3" "45.9" "55" "2" " 2. kerület, Kavics utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "nincs megadva" "van" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"4" "99.9" "104" "3" " 12. kerület, Virányos " "nincs megadva" NA "duplakomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "nincs megadva" "nincs megadva" "kertre nézo" NA "igen" "nincs megadva" "önálló garázs - megvásárolható" NA NA
"5" "79.9" "90" "3" " 13. kerület, Visegrádi utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nincs megadva" "külön és egyben is" "nyugat" "utcai" "7 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"6" "58" "62" "3" " 11. kerület, Thallóczy Lajos utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "igen" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"7" "57" "77" "2" " 6. kerület, Szondi utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"8" "34.5" "53" "2" " 20. kerület, Pacsirtatelep " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko), padlófutés" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "16 m²" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA
"9" "52" "62" "2" " 13. kerület, Hegedus Gyula utca " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA
"10" "95" "107" "3" " 1. kerület, Tabán " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" NA "nem" "külön és egyben is" "délnyugat" "utcai" "3 m²" "nem" "nem tetotéri" "nincs megadva" NA NA
"11" "37.5" "60" "2" " 9. kerület, Erno utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti" NA NA "nincs megadva" "külön helyiségben" "északkelet" "utcai" "3 m²" "nem" "nem tetotéri" "nincs megadva" NA NA
"12" "53.5" "65" "2" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "van" NA "nincs megadva" "külön helyiségben" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"13" "22.9" "57" "2" " 20. kerület, Baross utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "8 m²" "nincs megadva" NA "nincs megadva" NA NA
"14" "21.9" "36" "1" " 17. kerület, Újlak utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "távfutés" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva"
"15" "72.9" "75" "3" " 11. kerület, Kelenföld " "nincs megadva" NA "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön és egyben is" "nyugat" "kertre nézo" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"16" "96.9" "88" "2" " 5. kerület, Kecskeméti utca 13. " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "4" "6" "nincs megadva" "3 m vagy magasabb" "egyéb" "nincs" "55 000 Ft/hó" "nem" "külön helyiségben" "kelet" "utcai" "5 m²" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"17" "13.99" "24" "1" " 4. kerület, Irányi Dániel utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" NA "igen" "egy helyiségben" "nyugat" "udvari" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"18" "59.9" "74" "2.5" " 2. kerület, Víziváros " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "van" NA "nem" "külön és egyben is" "nyugat" "kertre nézo" "2.5 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"19" "58.9" "55" "3" " 12. kerület, Árnyas út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "dél" "utcai" "5.5 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"20" "43.7" "79" "2" " 7. kerület, Külso-Erzsébetváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
