"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "rezsikoltseg" "parkolohely_ara"
"1" "36.7" "64" "3" " 8. kerület, Baross utca " "jó állapotú" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"2" "32" "56" "2" " 13. kerület, Vizafogó " "jó állapotú" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs" "nem" "egy helyiségben" "észak" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA NA
"3" "34.5" "58" "2" " 13. kerület, Angyalföld – Országbíró utcai lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA
"4" "30.9" "35" "1" " 7. kerület, Péterfy Sándor utca " "jó állapotú" "komfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "északnyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA
"5" "88.8" "84" "3" " 7. kerület, Wesselényi utca " "újszeru" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m-nél alacsonyabb" "padlófutés" "van" "nincs megadva" "nincs megadva" "délkelet" "utcai" "4 m²" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "10 000 Ft/hó" NA
"6" "79" "83" "2" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "nincs megadva" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "délkelet" "kertre nézo" "14 m²" "nem" "nem tetotéri" NA "teremgarázs hely - kötelezo megvenni" "2001-2010 között" NA "4 M Ft"
"7" "69.9" "116" "3" " 7. kerület, Rottenbiller utca " "jó állapotú" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön és egyben is" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" "1950 elott" NA NA
"8" "65.62" "97" "3" " 11. kerület, Gellérthegy " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "nincs megadva" "északkelet" "kertre nézo" "8 m²" "igen" "nem tetotéri" NA "utca, közterület" "1981-2000 között" NA NA
"9" "79.9" "77" "3" " 3. kerület, Rómaifürdo " "újszeru" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "külön helyiségben" "kelet" "kertre nézo" "42 m²" "nem" "nem tetotéri" NA "nincs megadva" "2001-2010 között" NA NA
"10" "168" "93" "3" " 5. kerület, Kossuth Lajos tér 13-15 " "jó állapotú" "duplakomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "házközponti" "nincs" "nincs megadva" "külön és egyben is" "kelet" "utcai" "5 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" "35 000 Ft/hó" NA
"11" "35.9" "69" "3" " 3. kerület, Szolo köz " "jó állapotú" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"12" "120" "100" "5" " 7. kerület, Károly körút " "felújított" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "1950 elott" NA NA
"13" "22.6" "35" "1" " 18. kerület, Csontváry Kosztka Tivadar utca " "felújított" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "igen" "egy helyiségben" "kelet" "panorámás" NA "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "1950-1980 között" NA NA
"14" "12.5" "27" "1" " 20. kerület, Vágóhíd utca " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "1950 elott" "20 000 Ft/hó" NA
"15" "58.9" "59" "3" " 13. kerület, Cserhalom utca " "újszeru" "összkomfortos" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "15 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2001-2010 között" NA NA
"16" "80" "53" "2" " 11. kerület, Sasad " "nincs megadva" "luxus" "AA++" "1" "nincs megadva" "van" "nincs megadva" "hoszivattyú" "van" "igen" "külön helyiségben" "dél" "kertre nézo" "16 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - benne van az árban" "2019" NA NA
"17" "137" "97" "4" " 11. kerület, Sasad " "nincs megadva" "luxus" "AA++" "1" "nincs megadva" "van" "nincs megadva" "hoszivattyú" "van" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "16 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - benne van az árban" "2019" NA NA
"18" "93" "63" "3" " 11. kerület, Sasad " "nincs megadva" "luxus" "AA++" "földszint" "nincs megadva" "van" "nincs megadva" "hoszivattyú" "van" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "12 m²" "igen" "nincs megadva" NA "teremgarázs hely - benne van az árban" "2019" NA NA
"19" "130" "89" "4" " 11. kerület, Sasad " "nincs megadva" "luxus" "AA++" "földszint" "nincs megadva" "van" "nincs megadva" "hoszivattyú" "van" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "22 m²" "igen" "nincs megadva" NA "teremgarázs hely - benne van az árban" "2019" NA NA
"20" "74.9" "107" "3" " 11. kerület, Ibrahim utca " "közepes állapotú" "nincs megadva" "nincs megadva" "szuterén" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA NA
