"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara"
"1" "75" "44" "1" " 8. kerület, Corvin sétány " "újszeru" "2013" "összkomfortos" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "25 000 Ft/hó" "nincs megadva" "egy helyiségben" "észak" "utcai" "17.81 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"2" "22.5" "59" "2" " 21. kerület, Duna dulo " "felújítandó" NA "összkomfortos" "nincs megadva" "földszint" "10" "van" "nincs megadva" "távfutés" NA NA "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA
"3" "17" "30" "1" " 9. kerület, Tuzoltó utca " "felújítandó" NA "összkomfortos" "nincs megadva" "szuterén" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"4" "59.9" "83" "2" " 13. kerület, Balzac utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"5" "57.8" "83" "3" " 7. kerület, Dohány utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"6" "60.09" "93" "3" " 9. kerület, Ferenc körút " "felújítandó" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"7" "20.9" "34" "1" " 21. kerület, Csepel-Csillagtelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" NA "nem" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA
"8" "28.4" "70" "3" " 21. kerület, Kossuth Lajos utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "van" NA "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" NA
"9" "28.8" "43" "2" " 4. kerület, Újpest " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nyugat" "udvari" NA "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" NA "1.5 M Ft"
"10" "31" "45" "2" " 7. kerület, Garay tér " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"11" "20.8" "41" "1" " 10. kerület, Kobánya – Óhegy " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"12" "25.9" "37" "1" " 6. kerület, Székely Bertalan utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gázkazán" "nincs" NA "nem" "egy helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"13" "54.9" "59" "2" " 5. kerület, Alkotmány utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"14" "55.5" "72" "2" " 6. kerület, Felso erdosor " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "nincs megadva" "van" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"15" "108.9" "87" "2" " 5. kerület, Kossuth Lajos utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "mennyezeti hutés-futés" NA NA "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
