"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "25.5" "28" "1" " 7. kerület, Péterfy Sándor utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "52.9" "95" "4" " 20. kerület, Pacsirtatelep " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "21 m²" NA NA NA NA
"3" "82" "83" "2" " 6. kerület, Bajcsy-Zsilinszky út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "házközponti" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "van" "60 000 Ft/hó" NA NA
"4" "34.9" "65" "3" " 18. kerület, Margó Tivadar utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA "van" NA "nem vett részt" NA
"5" "72.9" "78" "3" " 2. kerület, Árpád fejedelem útja " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "kelet" "panorámás" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "4 m²" NA NA NA NA
"6" "110" "120" "4" " 7. kerület, Belso-Erzsébetváros " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "6 m²" NA "60 000 Ft/hó" NA NA
"7" "34.9" "51" "3" " 15. kerület, Pozsony utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2 m²" NA NA NA NA
"8" "21.95" "36" "2" " 17. kerület, Rákoskeresztúr " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA NA NA
"9" "139" "163" "4" " 11. kerület, Nevegy köz " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "167 m²" NA NA NA NA
"10" "34" "38" "1" " 13. kerület, Angyalföld " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "4 m²" NA NA NA NA
"11" "13.9" "23" "1" " 21. kerület, Csepel-Gyártelep " "felújított" NA "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"12" "48.29" "48" "2" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "8 m²" "nincs" NA NA "4 M Ft"
"13" "59.89" "66" "1" " 11. kerület, Lágymányos – Muegyetem környéke " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA NA NA
"14" "69" "100" "3" " 6. kerület, Külso-Terézváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"15" "24.9" "36" "1" " 15. kerület, Rákospalota " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "25 000 Ft/hó" NA NA
"16" "24.9" "48" "2" " 15. kerület, Rákos út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "igen" "egy helyiségben" "délkelet" "utcai" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA NA NA
"17" "49.9" "68" "2" " 6. kerület, Szondi utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "gáz (cirko)" "nem" "külön helyiségben" "északnyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA "nincs" NA NA NA
"18" "115.4" "128" "4" " 6. kerület, Eötvös utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "panorámás" "nem" "penthouse" "utca, közterület - fizetos övezet" NA "van" NA NA NA
"19" "54.5" "106" "4" " 10. kerület, Cserkesz utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "8 m²" "van" "35 000 Ft/hó" NA "4 M Ft"
"20" "78.9" "110" "3" " 6. kerület, Külso-Terézváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
