"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "parkolohely_ara"
"1" "34" "48" "2" " 11. kerület, Sáfrány utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "15 000 Ft/hó" "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA
"2" "95" "76" "3" " 5. kerület, Falk Miksa utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti" NA "50 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "utca, közterület" "1 m²" NA
"3" "24.8" "31" "1" " 10. kerület, Ligettelek " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA
"4" "45" "48" "1" " 1. kerület, Alsóhegy utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" NA "önálló garázs" "2 m²" NA
"5" "27.5" "32" "1" " 6. kerület, Király utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"6" "42.9" "72" "2" " 7. kerület, Rózsa utca 38/A " "felújítandó" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA
"7" "46.5" "54" "2.5" " 7. kerület, Rákóczi út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"8" "32" "51" "2" " 19. kerület, Zalaegerszeg utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nem" "nincs megadva" "dél" "utcai" "nem" "nem tetotéri" NA "nincs megadva" "2 m²" NA
"9" "31.9" "37" "1" " 11. kerület, Szerémi sor " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "6" "van" "3 m-nél alacsonyabb" "távfutés, házközponti" "nincs" "35 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA
"10" "29.9" "54" "1" " 7. kerület, Baross tér " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "12 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"11" "34.9" "42" "2" " 14. kerület, Nagy Lajos király útja 212-214 " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "igen" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"12" "43" "39" "1" " 11. kerület, Kondorosi út 10. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti" "van" "25 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "10 m²" "4.3 M Ft"
"13" "41" "58" "2" " 13. kerület, Pannónia utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "40 000 Ft/hó" "igen" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" "4 m²" NA
"14" "34.9" "68" "3" " 20. kerület, Alsóteleki utca 50. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs" "50 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" "6 m²" NA
"15" "39.4" "45" "1" " 13. kerület, Lehel utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "nincs megadva" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" NA "utca, közterület" "3 m²" NA
"16" "78.9" "110" "4" " 6. kerület, Külso-Terézváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"17" "29.8" "49" "2" " 19. kerület, Thököly utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" NA "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "udvari beálló" NA NA
"18" "27.5" "32" "1" " 6. kerület, Király utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület" NA NA
"19" "47.9" "72" "3" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"20" "51" "72" "3" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
